"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
218063,"Feijó","AC",2,1,1,398.6,426.3,469.9,412.7,640
1856587,"Rodrigues Alves","AC",2,1,1,,,,,
1115300,"Rio Branco","AC",4,1,1,536.2,647.4,590.2,756.2,880
191492,"Cruzeiro do Sul","AC",2,1,1,489.2,404.5,356.7,372.9,740
493697,"Rio Branco","AC",2,1,1,478.2,497.4,502.6,398.4,580
1440393,"Cruzeiro do Sul","AC",1,2,1,500.8,448.4,406.9,537,600
3104707,"Tarauacá","AC",2,1,1,,,,,
3156536,"Sena Madureira","AC",2,1,1,393.7,419.9,468.2,463.3,460
2009558,"Marechal Thaumaturgo","AC",2,1,1,525.7,364.4,422.2,402.9,560
3307236,"Feijó","AC",2,2,1,,,,,
4017635,"Cruzeiro do Sul","AC",2,1,1,526,552.3,543.9,538.7,900
2465807,"Feijó","AC",2,1,1,,,,,
2591650,"Capixaba","AC",2,1,1,500.5,530.1,536.5,492.7,700
2249107,"Cruzeiro do Sul","AC",2,1,1,470.5,471.9,569.2,441.5,580
1110405,"Mâncio Lima","AC",2,1,1,507.2,505.1,501.2,455.7,680
939161,"Rio Branco","AC",1,1,1,461.7,588.5,530.6,649.5,920
3291332,"Rio Branco","AC",2,1,1,389.1,309.1,394.2,431.3,420
713726,"Rio Branco","AC",2,1,1,509.9,360.8,566.4,403.9,0
3033707,"Cruzeiro do Sul","AC",4,1,1,584.2,577,545.2,652.4,820
3353778,"Cruzeiro do Sul","AC",2,1,1,359.7,336.4,455.6,414.8,360
1724298,"Sena Madureira","AC",2,1,1,394.6,470.6,533,561.1,460
2403350,"Marechal Thaumaturgo","AC",2,1,1,,397.4,405.4,,0
3669603,"Rio Branco","AC",2,1,1,512.7,514.1,506.8,404.6,620
