"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
594640,"Maceió","AL",2,1,1,417.3,403.4,465.5,398,320
794781,"Rio Largo","AL",2,2,1,421,412.8,345.9,445.7,280
3021292,"Maceió","AL",2,1,1,,,,,
303611,"Rio Largo","AL",2,2,1,440.3,439.7,413.5,517.8,0
1048982,"Carneiros","AL",2,1,1,398.9,419.6,469.2,394.7,0
59538,"Penedo","AL",2,1,1,448.8,507.2,569.9,490,680
2411323,"Penedo","AL",2,1,1,413.1,403.2,499.6,386,560
1596683,"Maceió","AL",2,1,1,,,,,
35471,"Maceió","AL",4,1,1,575.8,649.4,622,610.3,940
2266630,"Maceió","AL",2,1,1,440.8,479.2,493.8,499.4,520
4070885,"Palmeira dos Índios","AL",1,1,1,479.2,577.5,644.5,663.2,780
862390,"Maceió","AL",4,1,1,578.9,592.4,562.4,655.1,660
1629723,"Maceió","AL",2,1,1,502,462.8,493.4,435.5,0
814438,"Maceió","AL",4,1,1,634.5,595.8,580.3,737.4,840
1854538,"Maceió","AL",4,1,1,361.5,527.8,555.4,406.5,480
1895816,"Lagoa da Canoa","AL",2,1,1,539,560,582.6,684.3,840
2865653,"Maravilha","AL",2,1,1,420,347.5,418.6,421.3,0
1107899,"São José da Tapera","AL",2,1,1,436.7,352.6,322,443.6,580
3344766,"São José da Tapera","AL",2,1,1,,,,,
181700,"Penedo","AL",2,1,1,374.4,460.1,499.9,504.5,640
1650823,"Igreja Nova","AL",2,1,1,501.8,372.3,438.2,405.3,460
536404,"Palmeira dos Índios","AL",2,1,1,407.3,445.1,450.2,482.1,500
1339968,"São Miguel dos Campos","AL",2,1,1,,,,,
423468,"Porto Calvo","AL",2,1,1,436.7,414.8,440.5,377.7,240
1541142,"Maceió","AL",2,1,1,441,421,449.7,403.4,520
144255,"Maceió","AL",2,1,1,490.1,360.6,493.6,431,0
2891751,"Maceió","AL",4,1,1,474.4,421,569.8,456.2,880
2544867,"Maceió","AL",2,1,1,415.7,476.2,553.9,399.5,560
1224374,"Craíbas","AL",2,1,1,398.3,356.8,369.7,459.8,600
461259,"Satuba","AL",2,1,1,399.7,480.6,527,419.8,600
2198416,"Marechal Deodoro","AL",1,1,1,549.8,537.6,449.5,406,620
2476969,"Campestre","AL",2,1,1,385.6,403.4,321.2,465.8,400
805528,"Palmeira dos Índios","AL",2,1,1,,,,,
286183,"Arapiraca","AL",2,1,1,371.5,466.3,528.1,440.9,0
1209883,"Feira Grande","AL",2,1,1,544.3,597.7,546.4,631.6,760
1646509,"Feira Grande","AL",2,1,1,,,,,
1033994,"Chã Preta","AL",2,1,1,386.7,404.7,482.5,452.1,740
3085313,"Maceió","AL",2,1,1,531.1,529.6,524.4,423.8,580
589549,"Pariconha","AL",2,1,1,,,,,
146058,"Arapiraca","AL",2,1,1,552,567.8,551.4,645.8,800
1067304,"Maceió","AL",2,1,1,,333.9,385.2,,0
1185497,"Maceió","AL",2,1,1,,,,,
3453584,"Maceió","AL",4,1,1,571.2,577.5,504.2,584.4,620
2997120,"Inhapi","AL",2,1,1,,,,,
1096493,"Porto Real do Colégio","AL",2,1,1,399.9,563.4,534.3,609.2,820
1711923,"Rio Largo","AL",2,1,1,425.5,377,327.5,493.4,0
3473065,"Piranhas","AL",1,1,1,551.1,553.8,554,435.8,800
2628138,"Rio Largo","AL",2,1,1,393.7,459.6,481.4,437,0
1586067,"Santana do Ipanema","AL",2,1,1,416.9,458.9,484.9,440.4,0
959971,"Água Branca","AL",2,1,1,468.1,387.3,373.1,422.7,600
899971,"Maragogi","AL",2,1,1,395.8,433,405.1,417.1,0
2073333,"Branquinha","AL",2,1,1,445.9,558.4,551.7,448.3,680
2031617,"Penedo","AL",4,1,1,644.4,513.4,511.1,693.3,760
2954547,"São José da Laje","AL",2,1,1,,382.5,446,,580
391269,"Maceió","AL",2,1,1,572.5,526.4,536.7,527.4,600
2127569,"Ibateguara","AL",2,1,1,415.4,442,491.8,403.2,860
1356083,"Arapiraca","AL",2,1,1,,430.4,539.4,,520
