"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
1461113,"Manaus","AM",2,1,1,,562.9,598.6,,900
199746,"Itacoatiara","AM",2,1,1,446.8,537,431.6,429.7,540
258603,"Manaus","AM",2,1,1,452.7,507.3,522.7,432.5,700
3172509,"Rio Preto da Eva","AM",2,1,1,457.8,501,537.1,409.3,620
300018,"Manaus","AM",2,1,1,583.6,596.8,587,583.2,600
1356850,"Eirunepé","AM",2,1,1,423.5,511.1,497.6,411.4,620
1361956,"Manaus","AM",2,1,1,437.1,530.3,569.3,427.7,580
3817179,"Manaus","AM",2,1,1,494.7,451.7,365.1,384.1,320
1443475,"Coari","AM",2,1,1,,359.7,463.5,,480
660527,"Manaus","AM",2,1,1,416.4,534.7,524.6,475.7,720
2606864,"Iranduba","AM",2,1,1,,,,,
953849,"Envira","AM",2,1,1,521.1,425.9,484.9,469.3,760
1175518,"Lábrea","AM",2,1,1,,,,,
1289998,"Manaus","AM",4,1,1,535.1,646.1,620.8,698.2,620
1534974,"Parintins","AM",2,1,1,529.9,565.3,577.5,467.6,840
1517040,"Nhamundá","AM",2,2,1,479.7,392.8,385.8,380,360
3554387,"Pauini","AM",2,1,1,,,,,
3502931,"Benjamin Constant","AM",2,1,1,,,,,
3493051,"Boa Vista do Ramos","AM",2,1,1,,,,,
3649578,"Humaitá","AM",2,1,1,,372.2,387,,560
1329235,"Manaus","AM",2,1,1,,,,,
3460895,"Manaus","AM",2,1,1,,,,,
2102554,"Manaus","AM",2,1,1,466.6,401.9,436.3,422.9,360
3630359,"Borba","AM",2,2,1,,,,,
254664,"Itacoatiara","AM",1,2,1,487.9,482.1,559.9,494.8,800
2298697,"Nova Olinda do Norte","AM",2,1,1,468.5,470.6,520.1,399.3,0
978562,"Manaus","AM",2,1,1,,,,,
942995,"Manaus","AM",2,1,1,421.3,343.6,513.5,401.1,640
4135300,"Tefé","AM",2,1,1,,,,,
1054136,"Manaus","AM",2,1,1,411.2,474.7,508.2,423.5,500
3345439,"Manaus","AM",2,1,1,432,507.5,547.8,462.1,600
3665332,"Coari","AM",1,1,1,455.7,435.9,354.7,479.2,500
1200506,"Pauini","AM",2,1,1,455.9,496.5,533,418.4,600
3325347,"Manicoré","AM",2,1,1,493,352.8,380.3,436.3,420
3274852,"Rio Preto da Eva","AM",2,1,1,,,,,
3010113,"Silves","AM",2,1,1,384.1,427.1,333.4,423.6,0
2621649,"Manacapuru","AM",2,2,1,,,,,
1203037,"Eirunepé","AM",2,1,1,536.5,445.1,480,452.2,520
2964940,"Maués","AM",2,2,1,,,,,
4197577,"Careiro da Várzea","AM",2,2,1,,,,,
2807837,"Manaus","AM",2,1,1,373.9,525.3,593.9,471.9,680
1080405,"Manaus","AM",2,1,1,368.6,427,374.2,394.2,480
2814395,"Pauini","AM",2,1,1,434.8,487.6,526,462.1,580
3470943,"Manaus","AM",2,1,1,,,,,
218704,"Manaus","AM",2,1,1,,,,,
1915240,"Manaus","AM",2,1,1,,,,,
2031885,"Manaus","AM",2,1,1,501.9,413.7,529.5,429.7,580
2518679,"Lábrea","AM",2,1,1,,,,,
2075720,"Manaus","AM",2,1,1,,557.6,539.2,,0
4293158,"Manaus","AM",2,1,1,,,,,
3143095,"Autazes","AM",2,1,1,,,,,
83105,"Manaus","AM",2,1,1,441.7,547,582.7,503.8,860
1607735,"Humaitá","AM",2,1,1,,,,,
559673,"Manaus","AM",2,1,1,453.3,382,383.7,472.6,500
3519425,"Manaus","AM",4,1,1,563.6,500.8,580.9,487.5,820
