"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
6338,"Macapá","AP",2,1,1,411.7,302.7,419.3,392.3,460
111008,"Laranjal do Jari","AP",2,1,1,484,459.1,470.5,459.1,540
2802768,"Macapá","AP",4,1,1,412.3,505,614.8,442.5,880
1282013,"Macapá","AP",2,1,1,395.2,532.4,555.5,472.6,520
3286669,"Macapá","AP",4,1,1,379.1,520.6,573.8,491.6,560
97739,"Mazagão","AP",2,2,1,384.1,336.5,452.1,394.6,380
4130119,"Macapá","AP",2,1,1,351.5,0,372.9,0,240
3345683,"Santana","AP",4,1,1,,,,,
3397836,"Macapá","AP",2,2,1,520.3,389.7,454.2,574.2,460
1871003,"Macapá","AP",2,1,1,445.3,354.9,412.5,526.9,0
1567685,"Macapá","AP",2,1,1,485.2,467,485,520.5,700
1224494,"Macapá","AP",2,1,1,550.9,552,548.5,574.5,720
3377350,"Macapá","AP",2,2,1,,,,,
158716,"Macapá","AP",2,1,1,401.7,483.4,502.7,410.4,600
3332151,"Macapá","AP",2,2,1,424,406.1,437.7,398.5,240
504181,"Macapá","AP",2,1,1,436.5,391.9,361.8,496.3,300
691754,"Macapá","AP",2,1,1,441.9,462.3,483.4,432.7,800
3016108,"Macapá","AP",4,1,1,499.1,553.6,595.4,747.3,820
1346093,"Santana","AP",2,1,1,384.8,483.6,463.7,383.9,640
1770476,"Macapá","AP",2,1,1,435.3,521.7,520.2,375.2,520
2675267,"Santana","AP",2,1,1,458.6,513.2,515.9,458.1,940
837510,"Macapá","AP",2,1,1,504.7,384.6,477.3,401.9,560
260659,"Tartarugalzinho","AP",2,1,1,480.5,445.3,496.7,421.3,680
2916349,"Macapá","AP",2,1,1,571.5,612.9,562.5,524,840
1326508,"Macapá","AP",2,1,1,478.5,465,488,392.4,620
520859,"Macapá","AP",2,1,1,558.4,644.4,629.1,542.8,660
1628027,"Santana","AP",2,1,1,540,467.2,437.5,547.3,560
3561291,"Macapá","AP",2,1,1,,,,,
1521247,"Macapá","AP",2,1,1,478.2,478.7,507.4,401.1,640
3842307,"Santana","AP",2,1,1,,452,458.3,,560
2650625,"Macapá","AP",2,1,1,,,,,
102963,"Santana","AP",2,1,1,466.3,445.5,472.2,538.3,860
1273903,"Macapá","AP",2,1,1,413.6,399.4,479.9,413.6,560
2562998,"Santana","AP",2,1,1,,,,,
36207,"Macapá","AP",2,1,1,449.6,485.3,510.9,489.3,660
2678578,"Macapá","AP",2,1,1,,,,,
2396087,"Macapá","AP",2,1,1,379.5,450.8,529.5,441.6,640
2775967,"Macapá","AP",4,1,1,571.7,498,539.9,480.2,0
2650149,"Macapá","AP",2,1,1,425.4,562,550.8,440.1,480
2338722,"Macapá","AP",2,1,1,442.1,431.1,460.9,422.3,680
279754,"Santana","AP",2,1,1,408.9,445.5,487.4,428.4,380
2098177,"Santana","AP",2,1,1,490.2,579.8,544.5,638.7,860
1314486,"Macapá","AP",2,1,1,390.9,357.7,484.3,581.9,0
3567154,"Vitória do Jari","AP",2,1,1,402.9,450,477.1,382.4,520
2744226,"Macapá","AP",2,1,1,477.9,510,528.6,427.5,0
965568,"Laranjal do Jari","AP",2,1,1,,,,,
1470931,"Macapá","AP",4,1,1,507.1,411.9,368.1,481.9,400
89391,"Laranjal do Jari","AP",2,1,1,383.3,548.2,547.5,401.4,640
3818918,"Santana","AP",2,1,1,,432,408.9,,0
2317296,"Laranjal do Jari","AP",1,1,1,591.3,497.7,593.1,583.4,700
3093704,"Oiapoque","AP",2,2,1,534.1,521.8,545.6,396.5,500
3233516,"Macapá","AP",2,1,1,531.3,653.1,600.7,609.7,880
2440919,"Macapá","AP",2,1,1,582.5,599.3,564.9,662.5,860
663211,"Macapá","AP",2,1,1,518.7,505.8,548.9,511.8,560
1304486,"Porto Grande","AP",1,1,1,552.9,549.3,559.4,423.2,740
536683,"Vitória do Jari","AP",2,1,1,350.2,416.1,459.9,534.5,380
