"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
2167394,"Brasília","DF",4,1,1,553.3,581.9,563.2,667,700
4168590,"Brasília","DF",2,1,1,472.9,482.6,515.5,460.4,520
2924442,"Brasília","DF",2,1,1,577,574.7,598.6,685.9,720
2659724,"Brasília","DF",2,1,1,364,480,548.5,442,500
523876,"Brasília","DF",2,1,1,494.8,451,524.4,413.9,520
482570,"Brasília","DF",2,1,1,408.9,419.2,489.3,398.9,680
999660,"Brasília","DF",2,1,1,372.2,369.6,561.2,506.2,560
136441,"Brasília","DF",2,1,1,588.8,698.4,655.5,708.2,920
523993,"Brasília","DF",2,1,1,,,,,
1540453,"Brasília","DF",2,1,1,455.4,469.5,506,495,560
1130097,"Brasília","DF",4,1,1,639,677.2,627,761,900
140483,"Brasília","DF",2,1,1,541.3,524.4,540.9,615.2,680
3338986,"Brasília","DF",2,1,1,472.6,558.1,600.8,415,660
2309353,"Brasília","DF",4,1,1,557.9,421.1,440.7,401.8,780
920209,"Brasília","DF",4,1,1,600.8,616.1,614.4,716.8,780
3682659,"Brasília","DF",2,1,1,,,,,
2607899,"Brasília","DF",2,1,1,516,364.9,414.1,433.4,660
2192040,"Brasília","DF",2,1,1,409.5,548.6,478.5,618.7,840
3623764,"Brasília","DF",4,1,1,457,407.9,386.9,482,680
376124,"Brasília","DF",1,1,1,,,,,
2811266,"Brasília","DF",4,1,1,657.6,643.1,621.6,741,880
4099193,"Brasília","DF",4,1,1,603.5,580.9,530.6,575.8,740
1970634,"Brasília","DF",4,1,1,576.2,626.1,550.1,662.5,800
2249508,"Brasília","DF",2,1,1,398,431.2,465.7,414.1,680
1472339,"Brasília","DF",1,1,1,702.2,727.2,656.8,805.8,900
298314,"Brasília","DF",2,1,1,432.3,524.4,556.7,485.9,800
1980022,"Brasília","DF",1,1,1,684.6,634,601.6,810.5,880
3411887,"Brasília","DF",2,1,1,483.4,575.6,550.2,676.3,900
1886271,"Brasília","DF",4,1,1,529.1,597.8,564.6,475.2,700
2032145,"Brasília","DF",2,1,1,556,549.4,572.8,634.7,840
1591384,"Brasília","DF",2,1,1,,,,,
3422835,"Brasília","DF",2,1,1,530.2,463.8,464.6,397.9,460
2185780,"Brasília","DF",2,1,1,452.2,470.2,477.1,494.5,620
2652780,"Brasília","DF",2,1,1,523.6,551.3,529.3,623.3,760
419683,"Brasília","DF",2,1,1,437.9,395.8,512.2,381.9,640
566410,"Brasília","DF",2,1,1,396.6,389.6,414.7,398.3,440
2448516,"Brasília","DF",1,1,1,572,533.8,557.1,604.5,880
4048572,"Brasília","DF",2,1,1,,,,,
2119083,"Brasília","DF",2,1,1,,,,,
2246100,"Brasília","DF",2,1,1,439.9,543.7,571.3,439,680
4269338,"Brasília","DF",2,1,1,,,,,
2061812,"Brasília","DF",2,1,1,485.6,451.5,524.7,509.4,720
3628976,"Brasília","DF",4,1,1,490.7,378.4,483.6,420,620
3485073,"Brasília","DF",2,1,1,508.3,584.2,603.2,522.2,360
2287441,"Brasília","DF",4,1,1,624.6,622.6,613.4,637.9,740
81254,"Brasília","DF",2,2,1,502,491.1,516.9,522.6,600
1689779,"Brasília","DF",4,1,1,575.5,562.7,547.9,645.6,880
529414,"Brasília","DF",2,1,1,505.3,549.3,546,443.2,580
3442255,"Brasília","DF",2,1,1,465.3,472.8,537.4,429.1,560
498653,"Brasília","DF",2,1,1,583.4,598.6,558.5,676.1,640
1903506,"Brasília","DF",2,1,1,407.2,423,365.8,524.8,480
446591,"Brasília","DF",4,1,1,489.3,532.8,520.1,611.5,620
267953,"Brasília","DF",2,1,1,,,,,
2615124,"Brasília","DF",4,1,1,500.2,361.5,590.8,609.5,760
2123908,"Brasília","DF",4,1,1,618.1,644.9,612.3,738.8,940
63742,"Brasília","DF",2,1,1,574.4,552.9,590.4,622.5,600
1747691,"Brasília","DF",1,1,1,573.8,557.3,572.4,635.1,740
428053,"Brasília","DF",2,1,1,408.2,434,473.4,463,800
2033821,"Brasília","DF",2,1,1,613.7,606.8,589.9,779.4,860
1107094,"Brasília","DF",4,1,1,444.6,520.3,526.9,459.8,860
2786584,"Brasília","DF",2,1,1,526.4,532.1,557.5,551.8,620
3933893,"Brasília","DF",2,1,1,487.1,447.9,472.1,500.6,560
87437,"Brasília","DF",2,1,1,571,495.8,581.9,611.1,520
3523616,"Brasília","DF",2,1,1,457.6,,,439.4,
336091,"Brasília","DF",2,1,1,,,,,
447235,"Brasília","DF",2,1,1,413.9,595.7,593.6,398.6,880
653922,"Brasília","DF",2,1,1,423.6,414,486.3,397.4,660
1376930,"Brasília","DF",2,1,1,393.3,407.1,461.6,550.4,640
3311841,"Brasília","DF",2,1,1,519.1,602.9,581.6,465.1,580
1712993,"Brasília","DF",2,1,1,488.4,602.7,632.9,473,880
47726,"Brasília","DF",4,1,1,641,624.6,594.1,669.2,920
3647758,"Brasília","DF",4,1,1,,,,,
1929673,"Brasília","DF",2,1,1,485.6,491.2,554,518.6,740
390641,"Brasília","DF",2,1,1,,,,,
1044935,"Brasília","DF",2,1,1,,,,,
212951,"Brasília","DF",2,1,1,372.1,437.3,431.4,403,440
3802675,"Brasília","DF",4,1,1,530.7,628.5,575.3,514.5,840
882627,"Brasília","DF",2,1,1,616,623.2,589.7,711.2,920
2589662,"Brasília","DF",2,1,1,455.8,546.1,561.1,429.7,640
2605467,"Brasília","DF",4,1,1,556.6,603.3,598.7,729.3,820
987887,"Brasília","DF",2,1,1,504.3,443.7,524.1,398.5,380
2030942,"Brasília","DF",2,1,1,488.9,544,501.1,550.3,760
299789,"Brasília","DF",2,1,1,354.2,438.1,455.9,512.7,440
1649209,"Brasília","DF",2,1,1,439.2,489.9,489,386.7,560
2139456,"Brasília","DF",2,1,1,,,,,
1679891,"Brasília","DF",4,1,1,645,676.3,640.6,733.7,940
424878,"Brasília","DF",4,1,1,593.4,667.5,611.1,676.4,840
2136474,"Brasília","DF",2,1,1,514.3,562.9,498.9,513,680
2234947,"Brasília","DF",4,1,1,589.2,652.4,634.1,719.7,900
3142574,"Brasília","DF",2,1,1,,,,,
2413398,"Brasília","DF",4,1,1,606.6,602.4,621.3,542.2,600
2114245,"Brasília","DF",2,1,1,439.7,385.6,442.2,453.9,500
147713,"Brasília","DF",2,1,1,418.6,400.2,479.6,428.1,380
3890460,"Brasília","DF",2,1,1,,,,,
2125857,"Brasília","DF",2,1,1,556.3,554,531.3,448.7,620
1064891,"Brasília","DF",2,1,1,482.5,423.6,509.5,378,440
422514,"Brasília","DF",2,1,1,423.7,480.2,525.3,434.9,840
2065711,"Brasília","DF",2,1,1,,,,,
2395835,"Brasília","DF",2,1,1,406.8,342.6,490.6,484.9,480
1056870,"Brasília","DF",2,1,1,564.7,600.8,580.7,527.3,660
2636028,"Brasília","DF",2,1,1,,,,,
3124255,"Brasília","DF",4,1,1,633.9,293.1,574.6,531.2,620
2173388,"Brasília","DF",4,1,1,536.7,549.8,575.4,627.3,820
3068647,"Brasília","DF",2,1,1,354.9,580,531.2,375.4,660
921895,"Brasília","DF",2,1,1,517.9,574.1,531.8,522.4,860
178383,"Brasília","DF",2,1,1,514.7,573,608.2,560.8,640
823815,"Brasília","DF",4,1,1,559.4,643.4,610.9,624.7,780
911701,"Brasília","DF",4,1,1,420.4,552.8,519.4,510.1,760
2235626,"Brasília","DF",4,1,1,501.6,623.6,581.3,696.9,840
3554157,"Brasília","DF",4,1,1,507.1,392.7,540.2,495,400
2180570,"Brasília","DF",2,1,1,,,,,
2925034,"Brasília","DF",2,1,1,,327.6,397.3,,540
3608690,"Brasília","DF",2,1,1,541.5,489.2,504.7,418.6,480
2437438,"Brasília","DF",2,1,1,,,,,
1160149,"Brasília","DF",2,1,1,530.5,613.5,577.7,566.5,660
1951377,"Brasília","DF",4,1,1,515.6,624.1,586.7,614,820
3408648,"Brasília","DF",4,1,1,648.4,605.6,574.9,766.1,800
3864404,"Brasília","DF",1,1,1,,,,,
2146275,"Brasília","DF",2,1,1,618.4,617.9,597.4,700.4,880
2104581,"Brasília","DF",2,1,1,512.8,328.2,329,382.1,480
2544842,"Brasília","DF",2,1,1,505.2,574.5,578.5,641.5,880
109753,"Brasília","DF",4,1,1,521.5,574.9,579.8,623.4,820
4207374,"Brasília","DF",2,1,1,,,,,
2929369,"Brasília","DF",2,1,1,456.1,460.6,488.3,492.5,560
2975328,"Brasília","DF",2,1,1,,,,,
167227,"Brasília","DF",2,1,1,434.6,386.3,427.1,484.1,460
3536662,"Brasília","DF",4,1,1,581,569.4,611.1,456.5,740
3666272,"Brasília","DF",2,1,1,,,,,
1258952,"Brasília","DF",2,1,1,525.6,485,533.8,609,620
3747602,"Brasília","DF",2,1,1,499.5,426.8,514.8,462.6,480
