"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
1111253,"Vitória","ES",4,1,1,533.5,665.5,617.3,734.4,900
4106443,"Guarapari","ES",2,1,1,,,,,
4142892,"Vila Velha","ES",2,1,1,527.1,477.6,487.1,459,640
541795,"Marataízes","ES",2,1,1,425.4,490.2,390.9,426,500
163372,"Cachoeiro de Itapemirim","ES",2,1,1,402,448.6,534.8,603.3,640
1316633,"Colatina","ES",1,2,1,607.3,428.7,583,430.1,720
1089970,"Vargem Alta","ES",2,1,1,432,560.3,532.1,409.6,860
194525,"Sooretama","ES",2,2,1,423.4,497.4,512.4,438,660
80984,"Vitória","ES",2,1,1,481.8,504,532.8,556.1,800
3071972,"Vila Velha","ES",4,1,1,486.2,520.9,540,475.9,920
1149576,"Cariacica","ES",2,1,1,582,625.2,620.9,657.6,760
1121325,"Vitória","ES",2,1,1,444.4,540.5,549.6,571.6,600
3243686,"Serra","ES",2,1,1,494.9,499.3,542.2,379.1,580
1083112,"Colatina","ES",4,1,1,396.5,487.1,519.3,480.5,640
619461,"Pedro Canário","ES",2,1,1,498.8,618.8,585.5,621.3,800
892873,"Pedro Canário","ES",2,1,1,370.8,414.8,504.5,377.9,700
2680049,"Venda Nova do Imigrante","ES",1,1,1,555.1,546.8,556.4,576.8,680
1852328,"Cariacica","ES",4,1,1,544.4,493.9,537.8,497.6,660
1253874,"Vitória","ES",4,1,1,597.1,586.8,616,698,960
1393861,"Conceição da Barra","ES",2,1,1,481.2,561.9,543.8,457.4,940
2361645,"Serra","ES",2,1,1,512.6,493.2,479.7,505.9,660
273498,"Serra","ES",2,1,1,417,432.3,461,506.3,920
1119870,"Barra de São Francisco","ES",2,1,1,,,,,
437083,"Serra","ES",1,1,1,405.9,522.6,553.2,583.6,740
3142434,"Guarapari","ES",2,1,1,494.9,378.4,477.1,400,0
1482152,"Vila Velha","ES",4,1,1,582.1,678.2,627.7,580.5,940
3422690,"Itapemirim","ES",2,1,1,,,,,
152613,"Vitória","ES",2,1,1,394.3,501.2,532.8,384.8,840
1890107,"Pedro Canário","ES",2,1,1,648.6,668,627.2,751.7,960
2399550,"Cariacica","ES",2,1,1,426.6,519.1,525.1,636.9,640
3373606,"Vila Velha","ES",2,1,1,496.3,512.8,507.6,476.6,520
467003,"Vitória","ES",4,1,1,655.6,745.1,651.2,721,940
364314,"Afonso Cláudio","ES",2,1,1,548.3,554.9,596.4,475,800
961293,"Colatina","ES",4,1,1,578.4,561.8,564.4,634.9,900
2668077,"Serra","ES",2,1,1,420.4,537.9,555.6,586.3,540
2157799,"Montanha","ES",1,1,1,587.8,633.6,588.2,625.2,880
3840842,"Vila Velha","ES",2,1,1,393.8,291.8,479.8,424.5,440
3511923,"Guarapari","ES",2,1,1,,,,,
2892511,"Aracruz","ES",2,1,1,563.3,628.3,593.5,442,820
2384482,"Cariacica","ES",1,1,1,628.9,525.2,603.8,787.5,700
178844,"Vitória","ES",2,1,1,444.8,485.2,473.5,480.9,0
1291194,"Cariacica","ES",2,1,1,354.8,403.2,507,406.3,0
2303894,"Vila Velha","ES",4,1,1,549.6,541.6,488.9,558.5,620
3928604,"Vila Velha","ES",2,1,1,565.1,459.8,504.3,643.7,760
