"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
3666275,"Pirenópolis","GO",2,1,1,,,,,
2453241,"Silvânia","GO",4,1,1,482.1,502.3,475.6,575,740
1543280,"Goiânia","GO",2,1,1,594.8,584.9,555.5,615.9,760
2408014,"Caldas Novas","GO",2,1,1,362.7,469.5,474.3,431.6,400
2060662,"Goiânia","GO",4,1,1,648.7,667.4,595.3,750.9,840
2100525,"Goiatuba","GO",2,1,1,512.8,613.1,592,474.5,620
1168928,"Goiânia","GO",2,1,1,564.1,612.6,582.9,568.1,720
200594,"Águas Lindas de Goiás","GO",1,1,1,,,,,
961668,"Goiânia","GO",4,1,1,671,669.5,765.3,766.7,920
349580,"Porangatu","GO",2,1,1,381.5,533.7,483,632.5,940
846223,"Águas Lindas de Goiás","GO",2,1,1,524.7,517,555.3,528,860
2600185,"Morrinhos","GO",1,2,1,605.2,634.1,572,719.4,760
2625756,"Novo Planalto","GO",2,1,1,,,,,
1609838,"Cristalina","GO",2,1,1,398.8,532.3,533.1,526.7,920
3233281,"Catalão","GO",2,1,1,,,,,
3624157,"Goiânia","GO",4,1,1,567.2,571.8,526.4,496.5,860
327995,"Itaberaí","GO",2,1,1,503.5,551,564.6,515,940
1476607,"Luziânia","GO",1,1,1,512.7,491.3,553.7,407.4,500
224788,"Águas Lindas de Goiás","GO",2,1,1,452,518.7,528,393.3,560
2792932,"Acreúna","GO",2,1,1,,,,,
2755099,"Senador Canedo","GO",2,1,1,,,,,
690263,"Luziânia","GO",2,1,1,465.4,464.1,516.7,550.3,760
932143,"Valparaíso de Goiás","GO",2,1,1,388.7,445.1,499,401.8,700
1084110,"Aparecida de Goiânia","GO",2,1,1,501.2,518.7,494.8,440.1,840
2787825,"Goiânia","GO",4,1,1,534,528.6,560.2,625,700
3942547,"Corumbá de Goiás","GO",2,1,1,472.6,537.8,532.2,487,460
1970782,"Goiânia","GO",2,1,1,,,,,
2474135,"Amorinópolis","GO",2,1,1,417,389.3,443,465.6,440
1379464,"Aparecida de Goiânia","GO",2,1,1,408.4,430.7,472.7,421.6,760
859967,"Goiânia","GO",2,1,1,408.1,498.1,500.6,407.8,0
2617319,"Goiânia","GO",4,1,1,593,630.5,585.2,719.8,940
2542528,"Padre Bernardo","GO",2,1,1,477.1,370.9,383.3,443,680
2932617,"Guapó","GO",2,1,1,,,,,
2529046,"Acreúna","GO",2,1,1,,,,,
4154586,"Ceres","GO",2,1,1,,,,,
3192256,"Planaltina","GO",2,1,1,,,,,
2774837,"Bela Vista de Goiás","GO",2,1,1,424.4,395,436.6,454.8,0
1023520,"Itapaci","GO",2,1,1,552.6,629.2,576,700.5,880
1583041,"Iporá","GO",2,1,1,418,428,502.3,474.4,440
2593581,"Jataí","GO",2,1,1,556.3,555.5,548.1,665.1,800
2090798,"Goiânia","GO",4,1,1,672.1,660.5,597.2,742.3,860
2780723,"Catalão","GO",2,1,1,501.3,596.5,575.4,478.4,640
1415769,"Morrinhos","GO",2,1,1,572.4,616.6,600.2,783.1,840
3480831,"Luziânia","GO",2,1,1,,,,,
2789320,"Ouvidor","GO",2,1,1,451.1,413.4,474.8,434.4,540
2927102,"Jaraguá","GO",2,1,1,452.6,442.9,454.2,517.5,500
1100864,"Aparecida de Goiânia","GO",2,1,1,,,,,
1741510,"Goianésia","GO",2,1,1,502.8,540.4,561.8,456.3,380
2665644,"Porangatu","GO",2,1,1,447.8,408.3,496.6,495.4,520
1985149,"Jaraguá","GO",2,1,1,513.4,609.2,567.4,625.7,820
1359436,"Anápolis","GO",2,1,1,441.4,561.8,539.3,414.6,920
1735732,"Aparecida de Goiânia","GO",2,1,1,578.9,461,561.5,425.4,700
3072183,"Catalão","GO",4,1,1,614.2,642.1,593.2,706.2,960
443192,"Goiânia","GO",2,1,1,555,549.5,543.9,489.1,720
1566445,"Aparecida de Goiânia","GO",2,1,1,438.8,300.7,450.4,378.5,640
3065765,"Montes Claros de Goiás","GO",2,1,1,485.6,548.6,529.7,615.8,660
2935865,"Nerópolis","GO",2,1,1,,504.3,472.3,,380
2796631,"Ceres","GO",4,1,1,612.2,646.1,608.6,824.8,940
1839019,"Santa Helena de Goiás","GO",2,1,1,535.8,493.3,523.9,506.6,640
1581060,"Rio Verde","GO",2,1,1,473.2,524.4,456.6,428.9,600
2854566,"Abadia de Goiás","GO",2,1,1,,,,,
2787053,"Valparaíso de Goiás","GO",4,1,1,446.6,434.9,497.1,380.9,720
1694986,"Valparaíso de Goiás","GO",2,1,1,436.3,442.9,481.7,568.8,680
2969517,"Anápolis","GO",4,1,1,560.6,652.3,601.9,592.6,780
1591303,"Santo Antônio do Descoberto","GO",2,1,1,431,462.1,447.7,456.2,520
2670120,"Aparecida de Goiânia","GO",2,1,1,,,,,
375783,"Valparaíso de Goiás","GO",2,1,1,433.5,397.6,493.5,475.6,640
1563333,"Goianira","GO",2,1,1,,,,,
