"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
3148322,"Alto Alegre do Maranhão","MA",2,1,1,,,,,
1626014,"Vitória do Mearim","MA",2,1,1,455.8,441.8,396.1,429.8,500
1027037,"Timon","MA",2,1,1,391.7,431.7,483.6,449.8,920
668045,"Cantanhede","MA",2,1,1,382.2,383.2,355.9,468.8,500
1954867,"Itinga do Maranhão","MA",2,1,1,434.6,333.3,406.8,433.7,240
1363980,"Timon","MA",2,1,1,544,594.3,598,575.6,860
1232792,"Barão de Grajaú","MA",2,1,1,398.9,505.8,535.8,484.5,720
71867,"Tuntum","MA",2,1,1,,,,,
1598398,"Imperatriz","MA",2,1,1,375,309.2,469.8,413.7,620
3355482,"Rosário","MA",2,1,1,408.4,397,392.3,425.4,0
2518572,"Vila Nova dos Martírios","MA",2,1,1,,,,,
1309620,"Estreito","MA",2,1,1,505.5,,,389.5,
1681130,"Coelho Neto","MA",2,1,1,,,,,
3255680,"Cachoeira Grande","MA",2,1,1,455.2,358.6,441.7,451.6,420
2108239,"Parnarama","MA",2,1,1,524.1,493.4,511.8,495.2,420
1401204,"São Luís","MA",4,1,1,603,546.4,556.1,460,800
714475,"São Luís","MA",2,1,1,416.8,529.4,501,431.9,840
741586,"São Luís","MA",4,1,1,575,656.9,508.3,660.7,900
2469348,"Bom Lugar","MA",2,1,1,,,,,
2321669,"São Luís","MA",1,1,1,366.2,514.7,517.8,460.1,400
2031714,"Cidelândia","MA",2,1,1,446.2,445.8,448.3,463.5,0
2886238,"São Luís","MA",4,1,1,665,697.5,661.1,609.4,880
2113021,"Matões","MA",2,2,1,421,573,581,519.9,820
1176304,"São Luís","MA",2,1,1,534.8,549.7,529.8,398.9,820
3386537,"São Luís","MA",2,1,1,386.6,345.6,393.6,409,560
1710788,"Imperatriz","MA",2,1,1,503.6,469.4,508.9,436.1,800
1598467,"Buriti Bravo","MA",4,1,1,384,432.2,412.4,470.7,820
2927466,"Bom Lugar","MA",2,1,1,447.4,450.3,402.8,437.1,740
167905,"Humberto de Campos","MA",2,1,1,413.5,529,500.8,402.6,720
803923,"Caxias","MA",2,1,1,438.6,533.7,569.8,439.2,780
2427874,"São Luís","MA",1,1,1,574.9,582.6,594.2,674.1,740
1762429,"Coelho Neto","MA",2,1,1,,460.9,430.3,,420
2472805,"Açailândia","MA",2,1,1,382.3,309.1,543.2,379.5,600
2633281,"Vitória do Mearim","MA",4,1,1,408.3,410.1,423.5,410.3,0
853621,"São Raimundo das Mangabeiras","MA",4,1,1,440.3,591.1,518.9,654.8,860
1054320,"São Luís","MA",2,1,1,432.8,543.9,555,525.9,620
3550563,"Chapadinha","MA",2,1,1,432.4,316,417.1,512.1,420
1424833,"Imperatriz","MA",2,1,1,560.2,497.7,530.9,410.7,460
290374,"Chapadinha","MA",4,1,1,516.2,485.5,576.8,453.8,680
885317,"Afonso Cunha","MA",2,1,1,370.6,475.5,480.1,456.2,600
168364,"Codó","MA",2,1,1,441.2,423.5,407.6,385.7,620
1999210,"Bacabeira","MA",2,1,1,385.6,486,524.1,407.9,740
2480379,"Timon","MA",2,1,1,603.6,697.5,609.1,714.3,880
3409002,"Caxias","MA",2,1,1,,,,,
2882087,"Estreito","MA",2,1,1,555.6,556.4,489.2,397.5,600
3112729,"Itapecuru Mirim","MA",2,1,1,355.3,480.6,496.4,464.5,940
1207391,"Tutóia","MA",4,1,1,557.1,632.4,597.3,610.8,760
2214157,"São Luís","MA",2,2,1,442.6,462.3,517.4,396.7,520
1767166,"Buritirana","MA",2,1,1,481.2,506,530,409,520
1682937,"Coelho Neto","MA",1,1,1,565.7,602.6,557.6,475,860
3845790,"Barra do Corda","MA",2,1,1,450.2,350.6,425.3,473.4,420
1239532,"Santa Quitéria do Maranhão","MA",2,1,1,408.6,361.4,362.1,385.4,280
3697808,"Matões","MA",2,1,1,396,461.9,514.4,420.6,400
1281251,"São Luís","MA",2,1,1,525.3,479.8,432.4,462.8,820
3007597,"Santa Luzia","MA",2,1,1,,,,,
669666,"Lago Verde","MA",2,1,1,456.8,479.9,434.4,430.5,680
1218961,"Mirador","MA",2,1,1,467.9,413.3,431.7,418.3,420
3397110,"Pastos Bons","MA",2,1,1,,,,,
2042606,"Codó","MA",2,1,1,404.9,479.6,466.7,423.4,640
400617,"Pedreiras","MA",1,1,1,572,534.7,540.7,531.3,880
376203,"Esperantinópolis","MA",2,1,1,412.7,383.1,459.7,457.2,700
1482556,"São José de Ribamar","MA",2,1,1,459.8,387.6,466.1,423.3,820
1133417,"São Luís","MA",2,1,1,455,579.1,549.2,417.3,720
156827,"São Luís","MA",2,1,1,418.6,513.6,522.3,428.5,640
1625918,"São Luís","MA",2,1,1,,,,,
3691870,"São Luís","MA",2,1,1,474.4,439.1,428.7,417.7,0
1453485,"Chapadinha","MA",4,1,1,590,676.3,583.5,558.5,900
408295,"Chapadinha","MA",2,1,1,482.6,368.8,451.2,459.6,520
1175784,"Vitória do Mearim","MA",2,1,1,463.7,510.7,501.8,385.5,520
1784125,"São Luís","MA",2,1,1,410.4,461.8,424.3,496.6,320
567423,"São Luís","MA",2,1,1,,,,,
1846992,"São Luís","MA",1,1,1,505.1,553.7,606.4,619.3,780
705269,"Timon","MA",2,1,1,363.3,475.9,447.4,499.2,800
2079926,"Açailândia","MA",2,1,1,440.6,445.9,492.2,550.3,780
597097,"São João dos Patos","MA",2,1,1,486.3,334.7,417.4,456,300
224383,"Coroatá","MA",2,1,1,445.9,416.1,353.6,440.1,400
3596369,"Caxias","MA",2,1,1,494.4,529.5,559.3,564.7,820
2846425,"São Luís","MA",2,2,1,409.2,441.5,452.2,430.4,460
1841508,"Carutapera","MA",2,1,1,,,,,
723272,"Timon","MA",2,1,1,493.1,599,559.4,562.9,880
1726218,"São Luís","MA",2,1,1,515,514.6,492.4,420.4,640
2208824,"São Luís","MA",4,1,1,447.3,540.4,482.8,490.7,600
15419,"Palmeirândia","MA",2,1,1,347.2,424.3,486.5,388.8,520
2132702,"São Mateus do Maranhão","MA",2,1,1,554.8,567.6,587.5,633.3,840
1370368,"Caxias","MA",2,1,1,359.9,478.5,487.3,513,820
1955005,"Santa Helena","MA",2,1,1,401.4,438,448.8,434.5,500
1051330,"Paulino Neves","MA",2,1,1,494.4,414.4,460.2,466.3,700
2277207,"Nova Olinda do Maranhão","MA",2,1,1,,407.2,410.3,,500
3081414,"Peri Mirim","MA",2,1,1,,,,,
2766579,"Afonso Cunha","MA",2,1,1,,,,,
1256070,"São José de Ribamar","MA",2,1,1,413.4,494.3,515,513.2,760
194285,"Pio XII","MA",2,1,1,456.6,389.3,390.1,403.4,680
1269753,"São Domingos do Maranhão","MA",2,1,1,489.7,614.7,566.1,662.7,940
441965,"Centro Novo do Maranhão","MA",2,1,1,367.8,460.2,508,453,820
1585252,"São Luís","MA",2,1,1,474.7,485.1,487.6,587.5,520
4150417,"Codó","MA",2,1,1,,,,,
612575,"Timon","MA",2,1,1,430.6,425.3,465.9,393,460
1330506,"São Domingos do Azeitão","MA",2,1,1,416.8,402.5,560.2,395.3,800
1608969,"Caxias","MA",2,1,1,480.5,506.6,502.7,404.8,440
1552564,"São Luís","MA",2,1,1,480.2,436.6,401.8,401.5,440
3374487,"Grajaú","MA",2,1,1,410.1,421.3,459.1,425.6,480
913441,"São Luís","MA",2,1,1,468,525.3,472.1,491,920
751073,"Joselândia","MA",2,1,1,384,423.6,466.4,445,840
2979433,"Imperatriz","MA",2,1,1,460.8,488,511.1,459.6,0
3840597,"São Raimundo das Mangabeiras","MA",1,2,1,453.8,522.8,546,482.1,0
