"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
2567567,"Naviraí","MS",1,1,1,576,623.6,612.5,753.5,900
467113,"Terenos","MS",2,1,1,454.4,376.8,463.7,412.2,760
2103764,"Campo Grande","MS",4,1,1,494.7,458.2,513.2,424.6,500
3495683,"Aquidauana","MS",1,1,1,428.6,401.3,470.9,580.5,740
4060544,"Coxim","MS",2,1,1,,,,,
2850839,"Dourados","MS",1,1,1,482.7,526.1,536.9,433.1,680
1471341,"Campo Grande","MS",2,1,1,498,564.8,545.2,431,500
3551727,"Campo Grande","MS",4,1,1,494.5,580.3,479.1,631.6,900
2687384,"Aquidauana","MS",2,2,1,411.3,447.8,502.1,455,520
2859549,"Dourados","MS",2,1,1,483.2,320.6,329.3,518.6,480
2206286,"Campo Grande","MS",2,1,1,514.9,551.5,566.5,564.7,540
3992426,"Terenos","MS",2,1,1,,,,,
2922888,"Campo Grande","MS",4,1,1,553.3,579.1,556.7,692.6,620
2989401,"Bela Vista","MS",2,1,1,434.4,503.8,598.6,558.4,820
1270755,"Campo Grande","MS",2,1,1,480.2,,,626.6,
4160154,"Bonito","MS",4,1,1,451.1,412.3,503.5,567.2,600
2763658,"Campo Grande","MS",2,1,1,481.2,429.8,462.2,385.9,480
683224,"Dourados","MS",1,1,1,419.9,541.6,521,603.5,800
2642828,"Campo Grande","MS",4,1,1,594.5,627.9,607.4,649.2,840
3174558,"Campo Grande","MS",4,1,1,699.8,662.7,616.5,833,880
1780877,"Nova Alvorada do Sul","MS",2,1,1,,488.5,515.2,,700
3956739,"Campo Grande","MS",2,1,1,511.9,395.3,584.9,585.9,600
30987,"Campo Grande","MS",2,1,1,548.6,571,491.3,551.4,700
4132257,"Japorã","MS",2,1,1,401.7,383.4,420.6,425.9,380
2761737,"Campo Grande","MS",4,1,1,,553.7,613.5,,920
2649895,"Guia Lopes da Laguna","MS",2,1,1,376.4,366.7,384.8,399.7,600
1719429,"Ribas do Rio Pardo","MS",2,1,1,454.9,430,444.5,396.9,460
1725922,"Campo Grande","MS",2,1,1,407.4,421.4,536.3,434.3,760
3578209,"Campo Grande","MS",2,1,1,447.7,506.7,518.1,466.4,520
2682598,"Campo Grande","MS",2,1,1,,,,,
2199237,"Ponta Porã","MS",4,1,1,595.5,691.9,590.7,628.5,920
