"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
3446319,"São José do Xingu","MT",2,2,1,,,,,
3466046,"Cuiabá","MT",4,1,1,584.6,566,545,705.1,760
3231598,"Cáceres","MT",4,1,1,539.5,579.4,568.7,618,800
1983372,"Santa Rita do Trivelato","MT",2,1,1,,,,,
2110539,"Cuiabá","MT",2,1,1,374.9,472.9,423.6,398.2,400
660454,"Várzea Grande","MT",2,1,1,369.6,461,476.5,401.1,520
2969712,"Sorriso","MT",2,1,1,424.3,485.4,499,453.2,520
1912468,"Cuiabá","MT",4,1,1,612.6,670.2,630.9,698.7,780
3061316,"Várzea Grande","MT",2,1,1,547.7,536.2,482.4,597.3,560
2357535,"Paranaíta","MT",2,1,1,422.2,511.6,453.9,458.6,660
3475001,"Primavera do Leste","MT",2,1,1,445.6,340.6,392.6,541.9,400
1358612,"Alta Floresta","MT",2,1,1,416.2,315.9,525.1,404.3,720
1346325,"Cuiabá","MT",4,1,1,597.9,607.7,541.7,630.9,760
2166061,"Sinop","MT",4,1,1,425.5,558.4,480.7,552.7,940
1171409,"Primavera do Leste","MT",2,1,1,407.3,313.2,493.1,402.1,580
2420643,"Jaciara","MT",2,1,1,386.1,358.3,407,416.6,620
697913,"São José dos Quatro Marcos","MT",2,1,1,434.9,507.4,508.6,511,600
517839,"Rondonópolis","MT",2,1,1,375.3,487.1,514.3,393.2,940
918315,"Cáceres","MT",1,2,1,501.3,486.7,568.3,444.8,740
883294,"Cáceres","MT",2,1,1,607.7,567.1,570.3,613.1,980
2007186,"Cuiabá","MT",2,1,1,414.1,469.9,498.9,471.6,520
1407520,"Sinop","MT",2,1,1,,416,553,,520
3855948,"Poconé","MT",2,1,1,,,,,
483802,"Cuiabá","MT",2,1,1,,,,,
2223871,"Campo Verde","MT",4,1,1,543.5,640.9,540.9,663.5,800
679711,"Sapezal","MT",2,1,1,551,567.5,427.3,479.3,260
756054,"Tangará da Serra","MT",2,1,1,,,,,
360188,"Primavera do Leste","MT",1,1,1,600.5,625.5,618.3,623.5,840
3613445,"Sorriso","MT",2,1,1,469.9,468.7,551.9,508.5,560
4134492,"Confresa","MT",2,2,1,,,,,
1179055,"Cuiabá","MT",2,1,1,417.5,445.6,501,573,860
581616,"Lucas do Rio Verde","MT",2,1,1,394.5,466.4,484.6,380.8,460
709248,"Cuiabá","MT",4,1,1,584.8,750.7,657.5,658.2,920
331118,"Peixoto de Azevedo","MT",2,1,1,,,,,
3056214,"Cáceres","MT",2,1,1,,,,,
961736,"Água Boa","MT",2,1,1,352.2,499.5,428.4,471.5,0
285101,"Cuiabá","MT",1,2,1,555.9,610.7,584.5,524.5,700
950187,"Sinop","MT",2,1,1,525.3,506.6,552.7,398,0
2712910,"Nova Lacerda","MT",2,1,1,,,,,
1407375,"Comodoro","MT",2,1,1,466.6,562.2,551,558.7,780
3763274,"Poxoréu","MT",2,1,1,,,,,
548679,"Cuiabá","MT",4,1,1,412,506.3,544.5,447.2,600
3168420,"Pontes e Lacerda","MT",2,1,1,,,,,
3356691,"Cáceres","MT",2,1,1,512.5,437.2,444,556.4,580
2978986,"Primavera do Leste","MT",2,1,1,,,,,
1560963,"Lucas do Rio Verde","MT",2,1,1,,,,,
992776,"Tangará da Serra","MT",2,1,1,495.9,458.4,507.3,517.4,700
3266969,"Alta Floresta","MT",2,1,1,,,,,
1608941,"Confresa","MT",2,1,1,430.4,444.8,497.6,516.8,620
2731592,"Novo Mundo","MT",2,1,1,603.5,583,524.8,419.1,600
1262528,"Indiavaí","MT",2,1,1,,,,,
3555767,"Denise","MT",2,1,1,,,,,
2099350,"Alta Floresta","MT",2,1,1,433.2,402.3,437,478.7,760
1139644,"São Félix do Araguaia","MT",2,1,1,567.6,408.7,453.2,600.2,760
589220,"Várzea Grande","MT",2,1,1,565.7,500.6,528.2,547.7,680
184799,"Rondonópolis","MT",2,1,1,492.9,542.1,516.6,454.3,640
2037136,"Cáceres","MT",4,1,1,557.2,536.7,546.8,569.8,680
395851,"Rondonópolis","MT",2,1,1,637.5,618.6,572.8,716.1,920
1812923,"Rondonópolis","MT",2,1,1,584.8,422.8,494.2,733.8,900
2894259,"Cuiabá","MT",1,2,1,504.3,531.8,541.8,478.7,580
626604,"Cuiabá","MT",2,1,1,361.6,369.7,426,430.5,780
3509108,"Rondolândia","MT",2,1,1,411.2,403.9,351.4,385.5,220
2947027,"Nova Mutum","MT",2,2,1,,,,,
2426806,"Alta Floresta","MT",2,1,1,,,,,
2575287,"Glória D'Oeste","MT",2,1,1,382.7,301.8,420.4,423.7,460
3348556,"Várzea Grande","MT",2,1,1,,,,,
1605523,"Cáceres","MT",2,1,1,,,,,
2854869,"Primavera do Leste","MT",2,1,1,,,,,
2633559,"Nova Lacerda","MT",2,1,1,451.3,354.9,424,385.7,620
3797074,"Vila Rica","MT",2,1,1,478.3,389.7,461.8,418.3,620
1197066,"Várzea Grande","MT",2,1,1,,,,,
1866094,"Lucas do Rio Verde","MT",2,1,1,382,414.3,406.1,391.2,560
2891244,"Paranaíta","MT",2,1,1,459.5,484,468.1,378.7,380
2528999,"Várzea Grande","MT",4,1,1,447.6,539.8,537.9,476,840
70948,"Várzea Grande","MT",2,1,1,456.5,560.7,533,438.9,780
3338778,"Sorriso","MT",4,1,1,559.7,610.6,600.5,519.7,620
1750006,"Sorriso","MT",2,1,1,,,,,
3473605,"Ribeirão Cascalheira","MT",2,1,1,,,,,
1594093,"Várzea Grande","MT",2,1,1,,,,,
3174450,"Cuiabá","MT",2,1,1,,,,,
1895938,"Várzea Grande","MT",2,1,1,512.4,547.5,527.6,404.5,600
775579,"Cuiabá","MT",4,1,1,489.4,517.1,552.6,466.8,640
1256098,"Terra Nova do Norte","MT",2,2,1,483.8,416.6,438.1,379.3,540
3343456,"Cáceres","MT",2,1,1,445.8,,,493.8,
241000,"Cuiabá","MT",2,1,1,546.2,326.3,472.3,404.9,600
445137,"Sinop","MT",4,1,1,616.4,624.8,580.8,715.5,920
1013641,"Cuiabá","MT",4,1,1,475.8,471.3,546.2,502.9,940
855650,"Várzea Grande","MT",4,1,1,393,590.3,583.9,592,880
902215,"Várzea Grande","MT",2,1,1,507,562.5,584.5,470.4,340
2697952,"Cuiabá","MT",1,1,1,,,,,
2238018,"Mirassol d'Oeste","MT",2,1,1,,441.8,444.8,,0
2037246,"Alto Garças","MT",2,1,1,374.4,484.7,508.9,504.9,560
216606,"Sinop","MT",4,1,1,526.7,562.8,525,607.2,600
3492101,"Porto Alegre do Norte","MT",2,1,1,,,,,
468129,"Cuiabá","MT",2,1,1,,356.8,382.9,,340
67144,"Sinop","MT",4,1,1,475.2,439.7,495.3,470.2,920
662428,"Cuiabá","MT",2,1,1,356,544.2,553.6,462.5,620
864021,"Jaciara","MT",2,1,1,359.3,421.2,484.3,569.9,540
3132383,"Sorriso","MT",2,1,1,526.9,671.8,571.6,437.3,600
210192,"Sinop","MT",2,1,1,540.8,582.7,595.3,499.9,720
3044207,"Cáceres","MT",1,2,1,,,,,
3030925,"Cáceres","MT",2,1,1,413,294.9,367.9,453.3,0
3823632,"Cuiabá","MT",2,1,1,565.3,563.7,502.4,460.8,500
865952,"Cuiabá","MT",1,2,1,545.6,575.9,519.9,550.4,800
1638812,"Alta Floresta","MT",2,1,1,,,,,
1770911,"Cuiabá","MT",4,1,1,609.4,578,522.7,482.2,880
637740,"Colíder","MT",2,1,1,,,,,
165726,"Feliz Natal","MT",2,1,1,434.4,569.7,515.2,623.5,800
2772308,"Poconé","MT",2,2,1,404.1,512,499.4,417.1,500
73340,"Várzea Grande","MT",2,1,1,604.3,594.8,553.2,666.1,900
808353,"Nova Canaã do Norte","MT",2,2,1,471.7,551.3,543.8,538.9,640
458064,"Vera","MT",2,1,1,,321.1,477.2,,520
3848554,"Cáceres","MT",2,1,1,536.1,534.9,567.8,602.6,700
3988373,"Mirassol d'Oeste","MT",2,1,1,,,,,
2616969,"Nortelândia","MT",2,1,1,425,540.9,358.9,486.6,0
219139,"Cuiabá","MT",2,1,1,404.6,437.4,444.7,430.6,760
4260193,"Matupá","MT",2,2,1,,,,,
2968511,"Cuiabá","MT",4,1,1,499.8,513.8,559.7,570.7,680
1416518,"Cuiabá","MT",2,1,1,451.1,457.5,502.6,498.5,560
2603743,"Cuiabá","MT",4,1,1,371.8,408.8,470.7,403.3,420
3517127,"Porto Alegre do Norte","MT",2,1,1,404.6,343.9,445.1,441.5,520
1189504,"Cáceres","MT",2,1,1,,410.9,410,,0
1799685,"Tangará da Serra","MT",2,1,1,,,,,
1890870,"Cuiabá","MT",1,1,1,551.6,623.2,584.4,668.1,820
3242622,"Nova Mutum","MT",2,1,1,,,,,
