"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
3587454,"Belém","PA",4,1,1,486.7,,,525.1,
588106,"Salvaterra","PA",2,1,1,466.4,420,361.3,400.5,380
2983922,"Belém","PA",4,1,1,521.7,544.8,582.3,520.7,760
3429293,"Ananindeua","PA",2,1,1,372,301.7,322.9,483.8,600
1100590,"Cachoeira do Piriá","PA",2,1,1,529,519.6,546.5,417.8,740
841745,"Benevides","PA",2,1,1,421.3,349.5,451.5,479.2,0
1659333,"Ananindeua","PA",2,1,1,424.6,531.6,557.8,505.7,700
632437,"Altamira","PA",2,1,1,394.5,417,406.3,463,560
3704900,"Itaituba","PA",2,1,1,401.3,402.1,427.7,407.3,500
1046655,"Portel","PA",2,1,1,343.9,400.9,338,396.6,440
2676283,"Belém","PA",2,1,1,,,,,
142777,"Parauapebas","PA",2,1,1,,,,,
399550,"Barcarena","PA",2,1,1,409.4,510.6,511.3,410.1,480
3221574,"Marabá","PA",2,1,1,,,,,
2795902,"Breves","PA",2,1,1,499.4,579,595.3,532.2,900
1646093,"Jacareacanga","PA",2,1,1,,,,,
1441459,"Santa Maria das Barreiras","PA",2,2,1,422.5,555.6,482.7,589.4,720
3603899,"Baião","PA",2,1,1,457.7,376.7,446,434.1,460
3376497,"Porto de Moz","PA",2,1,1,505.7,522.4,441.5,549.2,700
1460884,"Ananindeua","PA",4,1,1,504.3,503.1,531.5,389.8,760
1240445,"Alenquer","PA",2,1,1,484.2,379.9,416.2,373.9,380
1145750,"Itaituba","PA",2,1,1,431.8,466.4,450.6,464.1,460
1515590,"Ananindeua","PA",2,1,1,585.6,543.5,562.1,500.9,680
2481321,"Breves","PA",2,1,1,487.9,455.1,513.6,432.8,620
3940398,"Belém","PA",2,1,1,,504,417,,520
1551231,"Belém","PA",2,1,1,432.8,366.5,480.2,432.7,660
2674469,"Tucuruí","PA",2,1,1,374.1,383.7,464,506.6,360
2934494,"Marabá","PA",2,1,1,,,,,
2999934,"Belém","PA",2,1,1,532.4,440.7,474.3,515,600
83256,"Ananindeua","PA",4,1,1,467.1,617.2,584.6,656.9,580
2445119,"Belém","PA",4,1,1,604.1,579.1,512.2,721.1,920
1889105,"Belém","PA",2,1,1,531.8,503.6,482.2,428,780
3665993,"Baião","PA",2,2,1,,,,,
286558,"Canaã dos Carajás","PA",2,1,1,382.5,431.9,433.8,439.7,0
2469255,"Bagre","PA",2,2,1,487,415.4,412.8,461.1,500
1262975,"Augusto Corrêa","PA",2,1,1,389.6,461,495,484.4,500
1000933,"Xinguara","PA",2,1,1,461.7,343.3,457.1,477.3,680
955284,"Gurupá","PA",2,1,1,472.6,416.3,349.1,444.8,700
78151,"Breves","PA",2,1,1,554.4,387.8,522.2,453.1,740
2479856,"Alenquer","PA",2,1,1,,,,,
2336427,"Parauapebas","PA",4,1,1,549.5,571,579.5,634.9,800
1149927,"Jacundá","PA",2,1,1,,413.4,449.4,,0
549312,"Ananindeua","PA",4,1,1,585.2,571.4,593.5,451.1,940
1644430,"Oriximiná","PA",2,1,1,450.6,389.8,372.7,391.3,540
1755757,"Santarém","PA",2,1,1,461.7,383.5,383.4,395,600
1432757,"Monte Alegre","PA",2,2,1,363.5,372.2,493.1,467.9,760
16248,"Parauapebas","PA",2,1,1,451.7,411.2,433.3,409.8,620
1294684,"Belém","PA",4,1,1,671,646.3,606.2,677.4,960
4138987,"Igarapé-Açu","PA",2,1,1,431.9,406.5,473.1,485.9,520
3077671,"Curralinho","PA",2,2,1,,385.8,417.4,,0
3521198,"Altamira","PA",2,2,1,,,,,
1511869,"Santa Izabel do Pará","PA",2,1,1,475.8,487.4,515.6,493.9,640
4275972,"Salvaterra","PA",2,1,1,,,,,
3283854,"Tucuruí","PA",2,1,1,436.4,438.4,389.8,534,440
2854218,"Ananindeua","PA",2,1,1,469,474.4,570.7,430.6,640
51368,"São Sebastião da Boa Vista","PA",2,1,1,470.6,559,575.5,427.1,440
4173076,"Conceição do Araguaia","PA",2,2,1,,,,,
3753609,"Oriximiná","PA",2,1,1,496.3,494.8,449.1,472.7,580
2675669,"Cametá","PA",1,1,1,514.8,558.2,579.8,509.3,940
2163341,"Conceição do Araguaia","PA",2,1,1,,487.6,422.5,,460
207249,"Ananindeua","PA",2,1,1,509.6,392.5,488.9,441.5,660
3642782,"Santa Bárbara do Pará","PA",2,1,1,404.1,393.5,521.4,378.8,580
1599105,"Marituba","PA",2,1,1,,367.2,408.8,,0
4027178,"Belém","PA",2,1,1,459.2,354.1,401.1,454.4,440
2508837,"Monte Alegre","PA",2,1,1,417.7,434.6,379.8,425.4,380
489248,"Ananindeua","PA",2,1,1,432.8,335.1,436.5,426,520
860261,"Trairão","PA",2,1,1,459.1,509.8,528.1,472.8,920
3041077,"Oriximiná","PA",2,1,1,449.1,339.4,357.7,393.6,340
1941788,"Mocajuba","PA",2,1,1,389.6,343,456,385.9,0
593792,"Santa Izabel do Pará","PA",2,1,1,421.3,441,462.4,412.6,720
258264,"Belém","PA",2,1,1,456.1,450.6,483.4,450.1,820
1389950,"Tracuateua","PA",2,1,1,376.9,400.9,490.5,428.4,560
1998346,"Vitória do Xingu","PA",2,1,1,,403.1,518.8,,0
3135431,"Barcarena","PA",2,1,1,489.9,296.5,393,529.2,400
4101157,"Paragominas","PA",2,1,1,444.7,378.6,439,400.2,400
3230308,"Ourilândia do Norte","PA",2,1,1,,,,,
4016602,"Castanhal","PA",2,1,1,,,,,
1087935,"Belém","PA",2,1,1,486.1,396.2,519.6,418.9,560
11294,"Rurópolis","PA",2,1,1,428.7,460.5,448.6,402.5,680
1337471,"Belém","PA",4,1,1,514.3,663.9,685,670.4,900
377504,"Terra Santa","PA",2,1,1,,,,,
306442,"Barcarena","PA",2,1,1,541.3,642.5,580.5,474.7,900
4125208,"Belém","PA",4,1,1,,,,,
2175399,"Cametá","PA",2,2,1,466.8,438.9,500.7,461.2,560
1727596,"Breves","PA",2,1,1,420.1,493.2,506,391.6,640
506064,"Barcarena","PA",4,1,1,423.7,589.7,532.7,617.5,860
519010,"Novo Progresso","PA",2,1,1,420.9,481.3,453.4,434.2,0
203941,"Pacajá","PA",2,1,1,546.3,535.3,546.5,442.9,680
834037,"Santa Izabel do Pará","PA",2,1,1,380,405.6,491.4,506.2,780
2668673,"Viseu","PA",2,2,1,,,,,
432699,"Maracanã","PA",2,1,1,564,656.2,524.4,569.5,880
302628,"Castanhal","PA",4,1,1,503.1,482.5,427.3,519.3,460
2007047,"Ananindeua","PA",2,1,1,406.7,412.3,552.1,410.9,520
1222012,"Belém","PA",1,1,1,506.1,572,543.5,634.2,940
2041772,"Ananindeua","PA",4,1,1,445.8,593.9,590.5,443.6,560
460302,"Ananindeua","PA",2,1,1,426,479.7,538,381,520
3129514,"Belém","PA",2,1,1,436.4,303.6,428.7,439,0
1039835,"Rondon do Pará","PA",2,1,1,529.8,532,507.7,521.6,560
894258,"Aurora do Pará","PA",2,1,1,394,379.8,428.9,474.2,820
441966,"Ananindeua","PA",4,1,1,401.6,593.9,592.5,515.1,840
3250829,"Abaetetuba","PA",4,1,1,402.1,546.7,547.2,522.3,700
2909229,"Belém","PA",2,1,1,447.5,449.8,475.4,380.5,0
1347832,"Belém","PA",2,1,1,553.1,603,543.7,575.6,820
3077220,"Curralinho","PA",2,2,1,,,,,
1740398,"Santarém","PA",2,1,1,366.1,487.8,453.1,399,620
838140,"Almeirim","PA",2,1,1,360.2,338.7,458.9,526.1,560
3146915,"Belém","PA",2,1,1,470,485.5,425.5,472.9,640
1343374,"Oeiras do Pará","PA",2,1,1,403.7,510,394.8,441.1,480
775465,"Marabá","PA",2,1,1,471.6,334.3,415.8,382.1,800
1182325,"Paragominas","PA",2,1,1,518,588.1,617.1,617.7,940
172641,"Tailândia","PA",2,1,1,511.5,527.5,506.8,464.9,480
2686838,"Marituba","PA",2,1,1,487.2,413.6,398.9,396.5,600
2789087,"Vigia","PA",2,1,1,,,,,
97897,"Castanhal","PA",2,1,1,,451.6,508.9,,500
2325915,"Tucuruí","PA",4,1,1,621,696,597.3,674.5,840
1044383,"Marituba","PA",2,1,1,,523.3,523.4,,580
315126,"Itaituba","PA",2,1,1,494.8,457.4,518,453.2,680
3758398,"Ananindeua","PA",2,1,1,,,,,
2448978,"Portel","PA",2,1,1,372.3,418.3,390.9,470.4,0
4201082,"Ananindeua","PA",2,1,1,483.5,513.6,494.7,575.9,380
2438529,"Ponta de Pedras","PA",2,1,1,492.1,399.3,379.1,447,0
1798389,"Canaã dos Carajás","PA",2,1,1,443.2,474.2,450.2,492.4,500
1445416,"Faro","PA",2,1,1,510.7,448.3,412.6,391.1,840
2710063,"Alenquer","PA",2,1,1,417.8,351.1,434.8,392.8,460
965471,"Belém","PA",2,1,1,495.1,428.4,453.4,390.4,640
1384785,"Santarém","PA",2,1,1,398.8,500.9,514,407.5,0
1183791,"Ananindeua","PA",2,1,1,422.6,436.9,483.8,395.6,500
2916224,"Moju","PA",2,1,1,,,,,
215195,"Altamira","PA",2,1,1,394.6,489.4,470.1,379.6,0
3966024,"Belém","PA",2,1,1,445.6,476,434.4,405,440
176488,"São Miguel do Guamá","PA",2,1,1,369.4,305.3,447,436.3,580
1687311,"Belém","PA",1,1,1,495.4,488.6,479.9,432.8,580
2208273,"Altamira","PA",2,1,1,444.5,532.6,567.5,549.6,920
3331707,"Novo Repartimento","PA",2,2,1,,,,,
789430,"Belém","PA",2,1,1,444.7,512.1,500.7,483,660
587096,"Viseu","PA",2,1,1,558.9,404.9,368.8,420.5,520
1775243,"Ananindeua","PA",4,1,1,523.5,485.6,523.3,535,520
