"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
2792697,"João Pessoa","PB",1,1,1,561,641.1,485.8,636.5,940
1070137,"Uiraúna","PB",2,1,1,352.3,423.7,493.7,391.4,320
3627573,"Mulungu","PB",2,1,1,,,,,
2767153,"João Pessoa","PB",4,1,1,612.5,608.8,546.7,694,940
23330,"Campina Grande","PB",2,1,1,563.2,632.9,604.4,624.2,760
3216927,"Esperança","PB",2,1,1,,,,,
3223753,"Cabedelo","PB",2,1,1,390.9,438.6,399.1,382,0
1589383,"Pombal","PB",2,1,1,454.1,496.1,504.2,459.8,540
1052194,"Boqueirão","PB",2,1,1,429.8,354.6,376.7,408.1,0
379857,"Bayeux","PB",4,1,1,394.5,533.8,536.9,602.7,840
1388923,"Sossêgo","PB",2,1,1,372.4,433.7,511.4,383.2,740
691181,"Guarabira","PB",2,1,1,456.9,391.1,458.5,434.1,300
2802478,"Piancó","PB",2,1,1,375.2,521.6,505.2,578.6,0
1390731,"Cajazeiras","PB",2,1,1,373.6,447.3,482.4,475.5,0
3244166,"João Pessoa","PB",2,1,1,537.3,402.4,360.4,388.6,0
495517,"Mamanguape","PB",4,1,1,516.4,487.7,575.7,575.3,920
820538,"Mamanguape","PB",2,1,1,467,555.2,567.8,508.9,800
587129,"Matinhas","PB",2,2,1,,,,,
766306,"Cacimbas","PB",2,1,1,472.4,401.6,454.8,393.7,720
598600,"Belém","PB",2,1,1,542.4,530,522.5,387,880
483134,"João Pessoa","PB",2,1,1,451.2,379.5,490,465.8,360
1338955,"Sousa","PB",4,1,1,626,593.7,520.2,770.4,740
726224,"João Pessoa","PB",2,1,1,543.1,561,573.5,432.9,720
3124385,"Aroeiras","PB",2,1,1,,,,,
283765,"São Sebastião do Umbuzeiro","PB",2,1,1,501,491.3,538.3,527.9,720
3777066,"Riachão","PB",2,1,1,,,,,
743768,"Conceição","PB",2,1,1,454.5,409.8,405.9,407.9,400
3284327,"Capim","PB",2,1,1,500.7,487.9,524.7,557,0
1258180,"Sapé","PB",2,1,1,546.6,503.1,483.5,532,640
671656,"Campina Grande","PB",1,1,1,553.7,580.5,545.4,548.5,800
682157,"João Pessoa","PB",4,1,1,574.5,560.5,559.6,640.7,940
2473107,"Aroeiras","PB",2,1,1,,,,,
710900,"Boqueirão","PB",2,1,1,416.8,471.1,522.6,385.6,620
1046006,"João Pessoa","PB",2,1,1,444.5,386.4,420.3,407.6,440
392785,"Queimadas","PB",4,1,1,446.1,483.6,504.9,522.5,700
1559292,"João Pessoa","PB",2,1,1,503.6,545.4,495.2,393,500
1050586,"Santa Luzia","PB",2,1,1,384.9,386.3,417,564.6,560
2908579,"Campina Grande","PB",2,1,1,,,,,
2699433,"Queimadas","PB",2,2,1,495,577.5,468.2,519.5,720
4002112,"Campina Grande","PB",4,1,1,480.8,602.3,575.1,606.6,840
2048508,"Campina Grande","PB",2,1,1,,,,,
761006,"Campina Grande","PB",4,1,1,593.8,613.5,575.1,682.6,800
1937116,"Caaporã","PB",2,1,1,,,,,
2086691,"Boqueirão","PB",2,1,1,394.2,322.6,349.4,420.8,360
1662106,"Cacimba de Dentro","PB",2,1,1,457.4,362.6,494.5,493.3,600
137521,"João Pessoa","PB",2,1,1,548.9,588.2,564.6,445.8,680
1353341,"Bayeux","PB",4,1,1,582,602.1,537.7,627.2,840
1263035,"João Pessoa","PB",2,1,1,413.3,448.6,461.7,418.5,340
2351158,"Cajazeiras","PB",1,1,1,596,647.2,594,746,920
1149830,"Casserengue","PB",2,1,1,449.1,443.8,488,573.8,520
784456,"Condado","PB",2,1,1,390.7,377.6,493.2,440.5,500
183159,"Patos","PB",2,1,1,467.2,491.4,469.4,417.4,680
1255987,"Sousa","PB",2,1,1,456.8,462.6,477.1,434,680
502223,"São Bento","PB",2,1,1,395,440.3,556.9,512.5,740
1320517,"Rio Tinto","PB",2,1,1,372.4,402.3,424.8,389.5,400
2345871,"Livramento","PB",2,1,1,614.3,559.4,510,610.2,620
254762,"João Pessoa","PB",2,1,1,393.8,452.8,499.2,416.8,560
293654,"Queimadas","PB",2,2,1,560.1,532,521.6,697.6,860
2970276,"Mari","PB",2,1,1,,,,,
747764,"Alhandra","PB",2,1,1,476.3,383.4,491.5,467,620
905225,"Santa Rita","PB",2,1,1,,,,,
475816,"Araruna","PB",2,1,1,389.5,420.6,505.9,379.4,900
869539,"Itaporanga","PB",2,1,1,529,370,448.9,549.2,700
3918350,"Santa Rita","PB",2,1,1,,,,,
773217,"Condado","PB",2,1,1,459.6,418.4,496.4,483.5,580
1361452,"Sobrado","PB",2,1,1,518.3,559.4,542.8,564.4,700
2066725,"Campina Grande","PB",2,1,1,510,505.7,559.4,456.8,840
716973,"João Pessoa","PB",2,1,1,,,,,
2778769,"Bayeux","PB",2,1,1,377.7,326.3,501.8,384.2,560
867051,"Monteiro","PB",1,1,1,558.3,513.7,510.7,624.1,780
2061,"Areia","PB",2,1,1,498.2,531.5,490.1,552.4,720
704867,"Vieirópolis","PB",2,1,1,410.7,390.2,396,377.7,520
2613313,"Aroeiras","PB",2,1,1,,,,,
1193404,"Alagoa Grande","PB",2,1,1,478.3,440.1,477.1,407.9,320
262395,"Vieirópolis","PB",2,1,1,386.2,407.3,447.9,497.1,600
960146,"Guarabira","PB",1,1,1,461.9,483.1,464.6,388.1,480
2728716,"Livramento","PB",2,1,1,,,,,
446453,"Campina Grande","PB",2,1,1,484.5,450,343.4,413.8,520
2750323,"São Vicente do Seridó","PB",2,1,1,,,,,
1175998,"João Pessoa","PB",2,1,1,425.7,475.6,488.1,481.9,600
3180124,"Campina Grande","PB",4,1,1,498.9,575.4,564.3,606.9,920
3450819,"Cuitegi","PB",2,1,1,,,,,
2393412,"Campina Grande","PB",2,1,1,395.7,527.7,540.9,420,800
1670180,"João Pessoa","PB",2,1,1,,,,,
711180,"João Pessoa","PB",2,1,1,499.2,430.7,533.3,594.9,600
4001507,"João Pessoa","PB",2,1,1,461,497.3,524.3,494.2,560
16846,"João Pessoa","PB",2,1,1,475.6,569.3,574.1,607.8,840
1232883,"Pedras de Fogo","PB",2,1,1,,,,,
2817745,"Campina Grande","PB",2,1,1,368,352.3,457.3,410.8,400
