"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
3603288,"Porto","PI",2,1,1,,,,,
1383631,"Parnaíba","PI",4,1,1,382.2,438.6,511.7,579.9,920
435030,"Bonfim do Piauí","PI",2,1,1,397.5,404.4,470.8,423,480
319307,"Barras","PI",2,1,1,,,,,
2377085,"São João do Piauí","PI",1,1,1,374.8,501.8,490.6,457.1,400
3204703,"Picos","PI",2,1,1,394.4,475,422.2,430.6,520
2403435,"São Raimundo Nonato","PI",2,1,1,398.2,439,469.4,570.1,460
1835833,"Santa Cruz do Piauí","PI",2,1,1,409.4,362,462.6,401.7,560
429823,"Piracuruca","PI",2,1,1,538.1,449.8,548.3,407.8,800
2420547,"Teresina","PI",4,1,1,487.5,334,452.2,428.7,820
1336084,"Luís Correia","PI",2,1,1,,505.3,406.8,,560
2595262,"Pedro Laurentino","PI",2,1,1,522.3,425.5,495.5,485.5,560
923860,"Teresina","PI",4,1,1,671.4,682,653.5,930.2,960
3211569,"Vila Nova do Piauí","PI",2,1,1,,,,,
844403,"Teresina","PI",2,1,1,467.4,612.6,629.8,651.6,920
135539,"Teresina","PI",4,1,1,534.4,624.1,566.4,645,840
1519680,"Teresina","PI",2,1,1,463.3,558.6,576.6,607.1,780
826048,"Piripiri","PI",2,1,1,406.2,444.8,508.5,489.5,740
63557,"Teresina","PI",2,1,1,558.3,637.9,609.2,684.7,860
1369581,"Teresina","PI",2,1,1,428.3,601.4,600.7,576.8,920
99507,"Luís Correia","PI",2,2,1,353.2,523.7,485.1,442,460
947791,"Joaquim Pires","PI",2,1,1,463.2,385.9,441.8,399.7,0
2466559,"Pedro II","PI",2,1,1,,,,,
509701,"Piracuruca","PI",2,1,1,,,,,
2563689,"Teresina","PI",4,1,1,814.6,659.1,636.1,854.2,920
3336449,"Esperantina","PI",2,1,1,508.3,555.6,547.1,405,360
1658657,"Boa Hora","PI",2,1,1,445.1,450.6,439.5,523.7,720
1720757,"Parnaíba","PI",2,1,1,361.2,501.2,475.1,397.4,620
2743122,"Teresina","PI",2,1,1,538.1,568.2,524,603.3,440
1361241,"Teresina","PI",1,1,1,492.8,569.4,547.6,511.4,640
2053971,"Picos","PI",2,1,1,392,529.9,522,419.5,640
2822953,"Picos","PI",2,1,1,393.7,422.9,433.8,396.2,380
2048841,"Patos do Piauí","PI",2,1,1,358.2,295.3,386.5,416.5,0
1636658,"Pedro II","PI",1,1,1,556.4,535.1,583.9,614.5,660
3357311,"Colônia do Piauí","PI",2,1,1,435.1,408.3,436.2,372.6,600
1173657,"Murici dos Portelas","PI",2,1,1,417,343.2,409.7,414.7,0
1646818,"Bom Jesus","PI",1,1,1,495.8,500.1,580.2,621.3,700
95585,"Teresina","PI",2,1,1,414.6,478.3,501.4,462.2,540
1143527,"Teresina","PI",2,1,1,408.3,557.5,550,605.8,800
213609,"Cocal","PI",1,2,1,498.1,534.3,415.3,407.7,800
2071061,"Campinas do Piauí","PI",2,1,1,476,500,441.7,417.4,460
1574552,"Santa Cruz do Piauí","PI",2,1,1,402.5,479.8,537.2,488.2,560
2471005,"Piripiri","PI",1,1,1,,,,,
3316638,"Parnaíba","PI",2,1,1,513,490.6,512.3,442.6,0
209632,"Teresina","PI",4,1,1,533.1,561.8,598.1,680.2,880
1287799,"Pedro II","PI",1,1,1,455.2,451.6,505.4,377.9,520
2227709,"Teresina","PI",2,1,1,381,442.7,433.1,487.1,0
3089383,"Picos","PI",4,1,1,467.2,510.5,519.7,639.1,940
1991879,"Teresina","PI",2,1,1,555.3,604,594.9,629.1,820
2474348,"São João do Piauí","PI",1,1,1,396.9,370.7,397.1,423.2,560
1406126,"Barro Duro","PI",4,1,1,590.5,581.4,584.9,506.5,580
1721134,"Barras","PI",2,1,1,373.7,356.6,490.7,405.9,520
1379014,"Cristino Castro","PI",2,1,1,438.1,416.3,493.6,399,520
756093,"Francinópolis","PI",2,1,1,360.1,381.1,414.1,409.4,360
1102158,"Teresina","PI",2,1,1,524.4,517.6,554.3,572.3,580
1316770,"Miguel Alves","PI",2,1,1,444.2,455.2,452.4,533.7,480
2979322,"José de Freitas","PI",1,1,1,,406.9,396.8,,0
808648,"Altos","PI",2,1,1,444.4,446.2,523.6,535.7,680
651644,"Teresina","PI",2,1,1,442.3,499,544.6,494.6,560
2788776,"Francinópolis","PI",2,1,1,360.3,355.5,511.6,376.1,600
1917315,"Teresina","PI",4,1,1,748.6,699.5,636.2,813.5,920
1693359,"Teresina","PI",2,1,1,468.1,463.8,521.2,594.2,640
1212815,"União","PI",4,1,1,582.2,591.4,553.5,623.4,660
3180697,"Pedro II","PI",4,1,1,552.9,502.7,537.7,513.5,760
4149558,"Teresina","PI",2,1,1,,,,,
1185645,"Altos","PI",2,1,1,498.1,426.4,499.2,410.2,460
4274000,"Parnaíba","PI",1,1,1,500.2,471.1,435,409.7,560
3644048,"Miguel Alves","PI",2,1,1,455.2,358.2,438.8,462.4,500
958773,"Bom Jesus","PI",2,1,1,486.1,540.6,514.5,455.5,680
3535961,"Teresina","PI",1,1,1,513.3,531.3,497.7,671.5,960
127147,"Campo Maior","PI",2,1,1,,,,,
78635,"São Raimundo Nonato","PI",1,1,1,570.4,562.6,544.3,555.9,720
1908974,"Picos","PI",4,1,1,586,636.7,579.1,688.9,920
1244623,"Luís Correia","PI",2,2,1,444.6,486.9,492.9,481.3,840
2984220,"Campo Maior","PI",2,1,1,447.3,620,405,621.4,860
3370250,"São Francisco do Piauí","PI",2,1,1,377.3,344.1,476.1,479,440
860885,"Pau D'Arco do Piauí","PI",2,1,1,408.4,349.2,436.2,414.7,640
2113204,"Picos","PI",4,1,1,415.6,635.1,613.7,735.2,880
964596,"Guadalupe","PI",2,2,1,367.4,344.6,424.2,393,480
