"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
145122,"Antônio Martins","RN",2,1,1,411.7,309.2,486.7,504.8,820
2729477,"Bodó","RN",2,1,1,370.1,414.5,387.3,445.5,400
1555399,"São Gonçalo do Amarante","RN",1,1,1,428.7,494.5,530.5,572.2,600
3732222,"Parelhas","RN",1,1,1,450.2,415.1,462.7,380.7,560
789867,"Macaíba","RN",2,1,1,532.3,455,521.5,415.2,860
3014195,"Brejinho","RN",2,1,1,429.8,422,419.1,405.8,480
3534848,"Parnamirim","RN",2,1,1,503.4,513,582,541.4,720
3766233,"Ceará-Mirim","RN",2,1,1,497.2,458.1,482.9,430.3,360
2577163,"Mossoró","RN",2,1,1,441.3,375.6,445.8,420.2,600
117776,"São José de Mipibu","RN",2,1,1,411,503.7,570.4,433,480
1903788,"Almino Afonso","RN",2,1,1,391.6,490.8,509.3,491.8,620
3934055,"Mossoró","RN",2,1,1,530.2,462.8,414.1,494.8,0
2659189,"Canguaretama","RN",2,1,1,,,,,
545857,"Caiçara do Rio do Vento","RN",2,1,1,375.6,422.5,427.8,386.7,400
302963,"Pedra Grande","RN",2,1,1,442.7,376.7,495.9,419.5,560
2867471,"Januário Cicco","RN",2,1,1,,,,,
1384409,"Pau dos Ferros","RN",1,1,1,458.6,460.5,522.7,454.7,880
1554142,"Natal","RN",2,1,1,433.9,488.1,516.5,516.8,680
2404847,"João Câmara","RN",4,1,1,369.2,418.8,482.3,403.6,720
1113587,"Ceará-Mirim","RN",2,1,1,488,461,416.1,383.3,540
1874012,"Açu","RN",4,1,1,447,566.6,570.8,494.4,940
2242924,"Pau dos Ferros","RN",2,1,1,518,474.6,526.9,623.7,760
2269714,"Almino Afonso","RN",2,1,1,387.8,529.3,560.2,525.4,820
1276757,"Apodi","RN",1,1,1,544.2,576,575.9,644.4,900
2088845,"Goianinha","RN",2,1,1,379.2,533.8,433.9,532.9,0
1467537,"Açu","RN",2,1,1,383.5,410.9,427.8,383.4,600
62754,"Natal","RN",2,1,1,447.9,507.9,565.8,552.8,820
969866,"Ceará-Mirim","RN",2,1,1,,367,386.4,,440
4201657,"Guamaré","RN",2,2,1,580.2,489.1,522.6,461.7,600
3648945,"Parnamirim","RN",2,1,1,408,450.5,504.8,501.3,480
463157,"Lagoa Nova","RN",2,1,1,,,,,
3388473,"Baía Formosa","RN",2,1,1,395.7,364.7,400.7,463.1,460
1508535,"Acari","RN",2,1,1,421.2,538.8,551.4,460.8,940
1453276,"Canguaretama","RN",1,2,1,563.5,611.5,634.9,701.8,760
4195922,"Parnamirim","RN",2,1,1,500.2,476.6,432.6,572.9,580
917379,"Caiçara do Rio do Vento","RN",2,1,1,529.2,432.1,484,444,700
1058894,"São Paulo do Potengi","RN",2,1,1,,,,,
547512,"Riachuelo","RN",2,1,1,379.4,334.5,388,429.5,0
71406,"Mossoró","RN",2,1,1,458.8,498.7,537.5,428.8,500
1424996,"Natal","RN",4,1,1,483.4,569.1,538.9,558.1,800
46437,"Parelhas","RN",1,1,1,566.4,546.8,593.5,658.2,800
601898,"Macaíba","RN",2,2,1,420.8,443.9,546.3,421.5,540
1439842,"Natal","RN",4,1,1,668,751.8,684.7,778.3,820
594982,"Natal","RN",2,1,1,505.9,589.4,561.5,482.1,820
297768,"Açu","RN",2,1,1,,,,,
1828404,"São Miguel do Gostoso","RN",2,1,1,,,,,
1714026,"Santo Antônio","RN",2,1,1,,451.9,479.4,,740
899345,"Areia Branca","RN",2,1,1,405.5,537.6,519.6,494.7,680
2936218,"Macau","RN",1,1,1,616.3,592.6,588.5,625.1,0
3915543,"Mossoró","RN",2,1,1,487.5,499.1,437.7,504.3,740
836240,"Upanema","RN",2,1,1,533.3,602.8,551.8,674.2,820
517249,"São Fernando","RN",2,1,1,460.8,406.5,427.6,471.4,500
891210,"Mossoró","RN",2,1,1,482.2,568.8,578.5,620.1,940
252200,"Jardim de Piranhas","RN",2,1,1,395.1,521.5,497.6,472.1,820
775365,"Natal","RN",2,1,1,374,357,500.2,383.9,620
409109,"São Rafael","RN",2,1,1,463.9,505.6,509.2,507.9,800
1996769,"Natal","RN",2,1,1,449,544.1,570.1,383.7,600
138223,"Mossoró","RN",2,2,1,439.5,477.1,465.3,441.3,0
1221751,"Alto do Rodrigues","RN",2,1,1,499.1,527.4,504.6,565,800
1791954,"Parnamirim","RN",4,1,1,586.6,647.3,591.7,665.3,900
37911,"São José de Mipibu","RN",2,1,1,435.5,348.6,441.6,397.7,480
157003,"Natal","RN",2,1,1,370.6,380.7,430.8,397.5,480
3410063,"Parnamirim","RN",4,1,1,432.5,394.6,512.6,415.1,840
2944235,"Mossoró","RN",2,1,1,461.1,430,436.7,444.6,400
1662514,"Goianinha","RN",2,1,1,560,501.6,477.9,606.8,580
124369,"Santana do Matos","RN",2,1,1,414.9,478.4,534,541,700
1182529,"São Gonçalo do Amarante","RN",2,1,1,439.6,458.7,533.2,536.8,760
1250148,"Santana do Matos","RN",2,1,1,,,,,
1158774,"Portalegre","RN",2,1,1,,,,,
2602093,"Natal","RN",1,1,1,595.3,512,594.5,507.7,760
3916163,"Santana do Matos","RN",2,1,1,,,,,
2103434,"José da Penha","RN",2,1,1,450.7,553.6,569.5,526.8,800
1381701,"Natal","RN",2,1,1,509.6,544.7,548.6,622.5,760
296001,"Natal","RN",2,1,1,456.9,523.8,554.7,537.5,680
1695555,"Natal","RN",2,1,1,,,,,
2626156,"Natal","RN",2,1,1,397,468.7,464,381,520
1911596,"Campo Grande","RN",2,1,1,476.7,524.1,469.9,557.8,800
33804,"Ceará-Mirim","RN",2,1,1,422.7,575.3,558.1,391.2,700
513921,"Pedra Grande","RN",2,1,1,420.4,490.9,509.6,504.5,820
1549984,"Canguaretama","RN",2,2,1,402.9,329.9,474.7,386.6,440
123172,"Currais Novos","RN",2,2,1,429.4,535.4,543.8,567.4,660
770309,"São Gonçalo do Amarante","RN",2,1,1,400,563,566.6,422.5,620
653790,"Natal","RN",2,1,1,479.4,517.9,534.4,590.9,800
2154730,"Parnamirim","RN",1,1,1,615.5,649.3,614,748.4,880
904491,"Natal","RN",2,1,1,,,,,
246443,"Natal","RN",2,1,1,,461.4,394.1,,360
1172117,"Natal","RN",2,1,1,460.2,353.4,384.7,552.5,700
76058,"São Bento do Trairí","RN",2,1,1,435.9,463.6,470.4,499.7,600
3303106,"São Paulo do Potengi","RN",2,1,1,450.9,429.8,546.6,446.6,680
972306,"Natal","RN",1,1,1,618,554,515.7,592.7,920
361936,"Januário Cicco","RN",2,1,1,427.8,346.6,507.4,494.7,660
588836,"Parnamirim","RN",2,1,1,372.1,539,582.2,460,720
3218369,"João Câmara","RN",2,1,1,,,,,
729904,"Ceará-Mirim","RN",2,1,1,492.1,468.8,535.3,536.9,740
4006297,"Serra de São Bento","RN",2,1,1,,442.2,391.6,,360
3409316,"Marcelino Vieira","RN",2,1,1,449.8,472.1,479.7,431.2,540
976818,"Mossoró","RN",2,1,1,489.8,554.7,588.7,477.1,620
3245142,"Almino Afonso","RN",2,1,1,369.7,441.1,452.5,383.8,200
3306977,"Passa e Fica","RN",2,1,1,440.2,527.4,524.8,437.3,720
1886163,"Natal","RN",4,1,1,692.5,665.5,623.5,865.2,760
1209352,"Natal","RN",2,1,1,559.1,578.8,583.1,618.3,920
2483199,"Natal","RN",4,1,1,451.7,506.3,479.6,495.5,920
3084525,"Natal","RN",2,1,1,,,,,
4140551,"Jardim de Piranhas","RN",2,1,1,,,,,
2816728,"Natal","RN",2,1,1,486.4,518.7,561.3,507.9,500
2793218,"Macaíba","RN",4,1,1,459,405.8,442.8,539.7,800
1322653,"Macaíba","RN",2,1,1,475.3,569.4,528.9,495.8,600
232277,"Mossoró","RN",2,1,1,537.3,627.8,589.9,676.1,860
749633,"Natal","RN",2,1,1,541.9,562.1,525.7,570.8,560
1436408,"Nova Cruz","RN",2,1,1,377.4,486.4,529.5,487.3,800
2194674,"Natal","RN",4,1,1,510.4,626.9,582.6,622.9,600
1031539,"Currais Novos","RN",2,2,1,559,588.3,567.7,596.7,900
406277,"Parelhas","RN",2,1,1,450.4,526.3,528.6,398.5,540
2639305,"São Gonçalo do Amarante","RN",1,1,1,555.9,577.2,517.4,648.8,880
2837063,"Serrinha","RN",2,1,1,,,,,
298025,"Ceará-Mirim","RN",1,1,1,588.5,523.3,541.1,655.4,920
1283601,"Natal","RN",2,1,1,480.3,592.4,542.8,550.7,940
159129,"Natal","RN",2,1,1,474.1,454,542.7,426.3,620
3129911,"Serra de São Bento","RN",2,1,1,370.3,395.2,336.1,450.5,500
1926961,"Macaíba","RN",2,1,1,489.7,523.1,499.8,421.1,720
3418662,"Açu","RN",2,1,1,,,,,
433080,"Caraúbas","RN",2,1,1,413.4,473,504.2,481.8,680
1799409,"São Gonçalo do Amarante","RN",2,1,1,405.2,427.6,440.2,405.4,760
238881,"Macaíba","RN",2,1,1,532,440.8,494.5,408.5,560
2958356,"Brejinho","RN",2,1,1,383.9,474.8,459.3,548.2,820
2691375,"Macaíba","RN",2,1,1,383.5,464.5,468.5,398.1,420
1904244,"Caicó","RN",2,1,1,439.3,464.4,505,486.4,760
3519150,"Serra do Mel","RN",2,1,1,418.5,487.6,503.7,413.4,560
4022603,"Natal","RN",2,1,1,,,,,
2207945,"Natal","RN",4,1,1,464.5,516.8,488.5,414.9,740
464802,"Natal","RN",2,1,1,503.1,563.8,553.6,449.1,620
1584065,"Açu","RN",2,2,1,447,545.8,520,384.4,660
2198149,"São Paulo do Potengi","RN",1,1,1,523.1,482.4,500.4,481.2,780
572801,"Natal","RN",1,1,1,566.9,647.3,628.4,678,820
625208,"Mossoró","RN",2,1,1,383.9,472,485.9,431.3,720
3386328,"Carnaúba dos Dantas","RN",2,1,1,,436.2,449.8,,0
3472594,"Lajes Pintadas","RN",2,1,1,462.6,455.8,462.5,429.8,660
203384,"Parnamirim","RN",2,1,1,439.4,404.2,479.8,465,680
2136736,"São Gonçalo do Amarante","RN",1,1,1,502.1,425.2,402.4,452.8,520
373714,"Major Sales","RN",2,1,1,422.4,498.7,516.9,454,500
