"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
2124632,"Espigão D'Oeste","RO",2,1,1,598.7,616.1,588.3,726.2,680
3133667,"Nova Mamoré","RO",2,1,1,,,,,
2832575,"Vilhena","RO",4,1,1,371.7,526.3,520.9,513.3,660
1413637,"Rolim de Moura","RO",2,1,1,367.1,527.1,561.8,441.8,540
746711,"Porto Velho","RO",2,1,1,489.7,505.5,476.3,381.5,700
468779,"Presidente Médici","RO",2,2,1,,,,,
3937852,"Porto Velho","RO",4,1,1,,,,,
3002253,"Porto Velho","RO",2,1,1,452,484,488,494.3,680
250831,"Rolim de Moura","RO",2,1,1,552.5,538.9,517.4,613.7,880
3397972,"Porto Velho","RO",2,1,1,,,,,
911795,"Pimenta Bueno","RO",2,1,1,,,,,
242155,"Corumbiara","RO",2,1,1,446.2,566.5,523.2,513.3,880
152813,"Espigão D'Oeste","RO",2,1,1,540.6,590.6,540.4,610.2,900
2050030,"Cacoal","RO",1,1,1,499,537.4,591,615.6,900
2674895,"Cerejeiras","RO",2,1,1,,,,,
158411,"Porto Velho","RO",2,1,1,571.9,669.2,626.8,682.2,840
1085405,"Ji-Paraná","RO",2,1,1,593.5,568.1,578.4,728.5,880
2650434,"Campo Novo de Rondônia","RO",2,1,1,457.2,425.4,487.6,532.4,580
2076931,"Jaru","RO",2,1,1,499.8,306.6,544.8,452.9,580
1519449,"Ji-Paraná","RO",2,1,1,,,,,
758555,"Itapuã do Oeste","RO",2,1,1,425,329.3,410.3,384.6,400
4214286,"Alta Floresta D'Oeste","RO",2,1,1,476.2,504,487.9,395.8,360
3220468,"Presidente Médici","RO",2,1,1,371.5,299.5,420.2,407.5,0
2359821,"Ji-Paraná","RO",2,1,1,482.5,449.7,490.9,459.4,480
3233249,"Espigão D'Oeste","RO",2,1,1,379,394.8,499.7,499,540
2557481,"Ji-Paraná","RO",2,1,1,556.3,331.9,447.9,496.3,580
1509553,"Porto Velho","RO",4,1,1,443.3,506.5,494.3,653.8,640
3178474,"Ji-Paraná","RO",2,1,1,,,,,
323508,"Porto Velho","RO",2,1,1,456.4,425.4,447.5,453.7,540
1133252,"Porto Velho","RO",2,1,1,409.1,416.2,486.5,387.9,580
4112113,"Vilhena","RO",2,1,1,,,,,
339916,"Ariquemes","RO",2,1,1,,,,,
2208400,"Jaru","RO",1,1,1,527.6,592.4,619.1,670.5,760
243672,"Porto Velho","RO",2,1,1,457.9,508.9,524.2,391.4,600
3744133,"Ouro Preto do Oeste","RO",2,1,1,530.2,478.3,392,444.8,560
266160,"Porto Velho","RO",2,1,1,366.4,517,502.5,464.8,680
3820138,"Porto Velho","RO",4,1,1,619.4,586.5,593.6,647.6,720
640220,"Ji-Paraná","RO",2,1,1,468.6,461,417.8,459.7,660
200787,"Porto Velho","RO",2,1,1,,384.4,437.1,,600
3282814,"Monte Negro","RO",2,1,1,,,,,
2318887,"Vilhena","RO",2,1,1,497,585.6,563.3,661,380
356290,"Porto Velho","RO",2,1,1,421.5,541.7,560.9,451.3,720
1588064,"Jaru","RO",2,1,1,,,,,
2150995,"Ministro Andreazza","RO",2,1,1,,,,,
1672342,"Monte Negro","RO",2,1,1,412.9,474.8,440.4,480.6,840
3788885,"São Francisco do Guaporé","RO",2,1,1,,,,,
2332649,"Porto Velho","RO",2,1,1,519,510.3,503.7,493.5,600
339978,"Ji-Paraná","RO",2,1,1,464.1,486.9,511.8,382.6,680
2443249,"Jaru","RO",1,1,1,598.2,597.3,567.2,738.6,820
1326122,"Nova Mamoré","RO",2,1,1,431.6,321.2,463.1,426.5,280
3130812,"Ariquemes","RO",2,1,1,395.4,432.9,480.7,398.6,460
3061853,"Porto Velho","RO",2,1,1,448.8,349,346.5,398.9,0
1829926,"Rolim de Moura","RO",2,1,1,572.7,679.4,692.6,617.3,740
4093144,"Guajará-Mirim","RO",2,1,1,382.2,295.8,307.5,433.7,460
1683653,"Cacoal","RO",4,1,1,570.4,576.8,594.1,626.2,880
1569003,"Cerejeiras","RO",2,1,1,,,,,
2405015,"Porto Velho","RO",2,1,1,467.3,419.8,357.9,420.6,360
3367108,"Porto Velho","RO",2,1,1,,434.6,481.3,,600
3237270,"Cerejeiras","RO",2,1,1,507.2,522.6,472.8,480.5,580
680090,"Campo Novo de Rondônia","RO",2,1,1,504.9,473.9,497.9,458,640
791532,"Porto Velho","RO",2,1,1,422.6,476.9,510.3,411.6,620
2200472,"Porto Velho","RO",4,1,1,578.6,617.7,584.2,602.6,720
238890,"Porto Velho","RO",2,1,1,428.5,551.8,553.4,623.4,760
261626,"Vilhena","RO",2,1,1,442.8,466.3,486.6,436.5,520
324874,"Porto Velho","RO",2,1,1,,,,,
1588154,"Vilhena","RO",2,1,1,,,,,
3368694,"Urupá","RO",2,1,1,,,,,
273470,"Porto Velho","RO",2,1,1,371.3,413.7,422.1,432.1,920
230871,"Vilhena","RO",1,1,1,556.6,505,572.2,612.2,800
3730684,"Porto Velho","RO",2,1,1,550.3,419.6,446.6,396.3,0
2454190,"Espigão D'Oeste","RO",2,1,1,526.2,540,504.4,400,360
419989,"Itapuã do Oeste","RO",2,1,1,408.4,484.9,519.7,413.8,480
4290118,"Ariquemes","RO",2,1,1,,,,,
1885923,"Guajará-Mirim","RO",2,1,1,515.7,579.8,612.8,617.1,940
3225783,"Ariquemes","RO",2,1,1,400,428.4,492.6,470.5,0
3359335,"Porto Velho","RO",2,1,1,,,,,
2962497,"Ji-Paraná","RO",2,1,1,435.6,457.3,494.7,392.3,680
1597116,"Castanheiras","RO",2,1,1,389.7,453.9,490.4,394.6,780
2478587,"Colorado do Oeste","RO",1,2,1,508,380.7,423.4,408.5,0
53998,"Buritis","RO",2,1,1,423.2,503.5,471.6,420.2,560
511260,"Porto Velho","RO",2,1,1,470,569.8,579.9,554.6,920
368509,"Buritis","RO",2,1,1,,371.2,397.6,,400
4093820,"Buritis","RO",2,1,1,,,,,
4018220,"Alto Paraíso","RO",2,1,1,579.1,587.2,588.6,535.6,520
2892068,"Porto Velho","RO",2,1,1,447.1,308.8,393.7,502,480
3275587,"Ariquemes","RO",2,1,1,,,,,
635808,"Ji-Paraná","RO",2,1,1,,,,,
3489138,"Porto Velho","RO",2,1,1,380.5,320,395.4,399.1,520
2841119,"Ariquemes","RO",2,1,1,544.1,524,552.6,639.4,900
161500,"Porto Velho","RO",2,1,1,463,551.1,504.2,546,780
457111,"Porto Velho","RO",4,1,1,454.4,473.7,489.5,439.2,760
3468294,"Espigão D'Oeste","RO",2,2,1,,,,,
2216103,"Porto Velho","RO",2,1,1,473.6,450.5,471.6,477.2,640
1326798,"Porto Velho","RO",2,1,1,384.3,561.6,525.6,478.1,700
1116792,"Alta Floresta D'Oeste","RO",2,1,1,547.1,546.1,505,653.2,800
2964229,"Porto Velho","RO",2,1,1,406.7,431.5,476.1,464.4,600
3164915,"Buritis","RO",2,1,1,368.4,443.6,452,429.2,560
1983032,"Porto Velho","RO",2,1,1,361.5,407.4,509.2,425.1,620
1672858,"Presidente Médici","RO",2,1,1,,,,,
3771494,"São Francisco do Guaporé","RO",2,1,1,464.2,427.5,458,455.1,480
2104813,"Cacoal","RO",4,2,1,461.8,465.7,459.5,410.7,680
1299872,"Governador Jorge Teixeira","RO",2,1,1,371.3,346.5,356.7,374.3,420
1620451,"Guajará-Mirim","RO",2,1,1,440.8,394.6,433.8,415.2,0
3048054,"São Felipe D'Oeste","RO",2,1,1,414.1,549.1,508.4,479.5,860
2133047,"Guajará-Mirim","RO",2,1,1,,410,401.7,,400
4193213,"Ji-Paraná","RO",2,1,1,,,,,
1362208,"Porto Velho","RO",2,1,1,,,,,
431763,"Porto Velho","RO",2,1,1,509,554.5,563.8,578.3,720
2951116,"Nova Mamoré","RO",2,1,1,,,,,
