"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
389596,"Boa Vista","RR",2,1,1,482.9,430.9,482,409.5,540
3480132,"Boa Vista","RR",2,1,1,513.7,450.8,440.8,473.3,440
690600,"Boa Vista","RR",2,1,1,,,,,
2860104,"Uiramutã","RR",2,1,1,,,,,
681767,"Boa Vista","RR",2,1,1,,,,,
4095733,"Boa Vista","RR",2,1,1,560.9,499.4,516.5,556.9,640
2696416,"Mucajaí","RR",2,1,1,410.3,500.9,537.8,444,680
3786260,"Boa Vista","RR",2,1,1,495.5,555.8,490.8,400.9,460
4183270,"Amajari","RR",2,1,1,,,,,
510805,"Boa Vista","RR",2,1,1,479.1,530.6,534.2,399.2,440
4005238,"Boa Vista","RR",2,1,1,462.5,363.3,547.3,658.3,700
3362772,"Boa Vista","RR",2,1,1,,,,,
889702,"Boa Vista","RR",2,1,1,493.2,495.7,523.3,520.9,520
2539026,"Boa Vista","RR",2,1,1,506.2,478.3,419.7,433.6,520
2114709,"Boa Vista","RR",1,2,1,496,439.7,514,462.7,660
333364,"Boa Vista","RR",2,1,1,427.5,444.5,489.6,478.3,580
2421410,"Boa Vista","RR",2,1,1,,,,,
3130630,"Uiramutã","RR",2,1,1,,,,,
3233751,"Boa Vista","RR",2,1,1,398.7,458.8,484.8,560.7,440
68020,"Boa Vista","RR",2,1,1,360.2,507.7,500.1,442.5,600
4123547,"Boa Vista","RR",2,2,1,,,,,
838443,"Boa Vista","RR",1,1,1,483.9,429.6,532.9,474.2,780
832561,"Boa Vista","RR",4,1,1,522.2,486.1,545,552.3,840
261137,"Caracaraí","RR",1,2,1,423.6,449.9,533.2,582.9,740
2196041,"Boa Vista","RR",2,1,1,481.3,482.9,477.4,458.2,500
1818066,"Cantá","RR",2,2,1,528.7,512.3,538.3,601.1,680
233820,"Boa Vista","RR",2,1,1,685.1,573.2,575.1,707,840
1781677,"Boa Vista","RR",2,1,1,463.2,438.9,439.8,384.1,620
3792601,"Boa Vista","RR",2,1,1,,,,,
3624592,"Boa Vista","RR",2,1,1,,524.9,545.5,,440
1147900,"Boa Vista","RR",2,1,1,399.2,375,530.3,523,540
1205266,"Boa Vista","RR",2,1,1,,,,,
1623565,"Caroebe","RR",2,2,1,535.2,517.3,512,501.4,580
1883016,"Boa Vista","RR",2,1,1,509.2,514,558.4,401.7,740
339834,"Boa Vista","RR",2,1,1,380.2,337.7,397.9,399.8,460
2802244,"Cantá","RR",2,2,1,,,,,
1391434,"Boa Vista","RR",2,1,1,422.5,468.3,418.3,391.6,600
2531202,"Boa Vista","RR",2,1,1,539.2,538.4,560.4,521.9,640
811357,"Boa Vista","RR",2,1,1,524,582.8,571.7,448.1,640
3784400,"Boa Vista","RR",2,1,1,382.4,346,438.1,430.4,0
1681718,"Boa Vista","RR",2,1,1,537.6,461.9,521.2,481.3,760
3419044,"Boa Vista","RR",4,1,1,541.7,574.7,546,420.7,780
2822186,"Boa Vista","RR",2,1,1,473.4,374.1,435.3,498.3,520
626924,"Rorainópolis","RR",2,1,1,,,,,
2799930,"Boa Vista","RR",2,1,1,,,,,
2775501,"São Luiz","RR",2,1,1,,,,,
4045754,"Boa Vista","RR",4,1,1,528.5,508.4,620.5,523.5,780
981401,"Boa Vista","RR",2,1,1,623.7,611.5,578.3,694.7,840
2563942,"Boa Vista","RR",2,1,1,414.6,516.1,444.9,385.7,440
3355813,"Boa Vista","RR",2,1,1,,,,,
285475,"Boa Vista","RR",4,1,1,,,,,
342240,"Boa Vista","RR",2,1,1,528.7,436.6,521.4,494,560
459751,"Boa Vista","RR",2,1,1,,,,,
1654629,"Boa Vista","RR",2,1,1,493.9,550.4,530.5,497.2,800
105633,"Boa Vista","RR",2,1,1,403.9,488.9,443.7,430.5,540
86817,"Boa Vista","RR",2,1,1,480.9,507,418.1,470.4,460
3146604,"Boa Vista","RR",4,1,1,481.2,498.7,440.7,416.6,260
3880395,"Boa Vista","RR",2,1,1,521.8,364.9,561.5,434.2,600
2989604,"Pacaraima","RR",2,1,1,,,,,
258729,"Boa Vista","RR",2,1,1,391.9,558.4,554.8,463,560
3807270,"Boa Vista","RR",2,1,1,,436.5,392.2,,480
561532,"Boa Vista","RR",2,1,1,420.1,350.6,409.5,387.9,520
3917882,"Boa Vista","RR",2,1,1,577.4,623.1,605.1,637.7,560
976393,"Boa Vista","RR",1,2,1,624.6,553,555.9,512.1,880
3633868,"Alto Alegre","RR",2,1,1,508.8,578.2,579.7,403.1,800
2349313,"Boa Vista","RR",2,1,1,,427.5,411,,0
633006,"Boa Vista","RR",2,1,1,477.4,421.2,530.1,631.4,480
2626744,"Boa Vista","RR",2,1,1,592.3,605.4,620.4,605.1,860
863176,"Boa Vista","RR",2,1,1,437.1,545.3,534.1,439.5,660
2629657,"Boa Vista","RR",2,1,1,549.5,531.8,524.7,446.9,540
4264831,"Rorainópolis","RR",2,2,1,,,,,
359324,"Rorainópolis","RR",2,1,1,,449.3,495.4,,440
3795125,"Boa Vista","RR",2,1,1,427.5,413.2,492.1,424.3,680
4044048,"Boa Vista","RR",2,1,1,,,,,
1650494,"Boa Vista","RR",2,1,1,452,528,458.9,483.8,540
3444735,"Caracaraí","RR",2,1,1,,,,,
4190703,"Boa Vista","RR",2,2,1,428.5,512.2,498.5,476.8,540
4218134,"São João da Baliza","RR",2,1,1,,,,,
772647,"Boa Vista","RR",2,1,1,374.6,458.4,371.7,436.5,440
1820974,"Boa Vista","RR",2,1,1,404.4,370.2,394,405.2,300
1731328,"Boa Vista","RR",2,1,1,468.3,476.8,530.9,497.9,540
1497642,"Boa Vista","RR",4,1,1,530.5,574.6,535.9,501.5,600
1879522,"Pacaraima","RR",2,1,1,437.4,575.8,521.8,545.3,600
3826972,"Boa Vista","RR",2,1,1,,,,,
2600319,"Boa Vista","RR",4,1,1,468.7,532.9,556,449.9,680
2457484,"Boa Vista","RR",2,1,1,469.8,470.6,483.1,429.4,440
2192803,"Boa Vista","RR",2,1,1,,,,,
1804294,"Boa Vista","RR",2,1,1,383,439.5,423.4,379.8,500
624245,"Boa Vista","RR",4,1,1,487.8,535.3,523.5,581.4,360
4224360,"Mucajaí","RR",2,2,1,489.9,399.4,495.2,383.6,540
