"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
718594,"São José do Herval","RS",2,1,1,536.7,564.1,573.1,465.7,820
2321480,"Sapiranga","RS",1,1,1,561.1,580.2,567.3,675.2,880
9560,"Sant'Ana do Livramento","RS",4,1,1,493.2,540.6,595.4,607,780
4323296,"Charqueadas","RS",2,1,1,439.6,454.1,396.2,452.8,360
3167481,"Alvorada","RS",2,1,1,462,346.6,451.4,398.8,440
1402002,"Novo Hamburgo","RS",4,1,1,387.9,431.3,499,505,680
2835115,"Porto Alegre","RS",4,1,1,549.3,647.2,573.4,711.2,860
4200414,"Capão da Canoa","RS",2,1,1,,,,,
4228702,"Tramandaí","RS",2,1,1,536.8,407.1,416.1,473.1,520
4180542,"Santa Maria","RS",2,1,1,,,,,
2550309,"Herval","RS",2,1,1,,,,,
432352,"Santa Maria","RS",2,1,1,495.3,519.1,530.9,396.6,580
877920,"Arvorezinha","RS",2,1,1,586.1,521.4,574.3,546.9,820
1416776,"Caxias do Sul","RS",2,1,1,545.3,603.4,598.8,653.4,680
3015167,"Três Coroas","RS",2,1,1,,,,,
759992,"Roca Sales","RS",2,1,1,465.9,472.2,409.1,424.1,380
2878215,"Vacaria","RS",2,1,1,400,372.8,466.1,531.8,480
2652415,"Guaíba","RS",2,1,1,,496.5,553.1,,540
1627122,"São Leopoldo","RS",2,1,1,461.5,445.5,495.4,575.4,640
4160686,"Barão de Cotegipe","RS",2,1,1,,,,,
418751,"Pelotas","RS",2,1,1,507,462.1,510.2,553,640
838660,"Três Cachoeiras","RS",2,1,1,563.2,571.3,590.8,643,900
1480317,"Porto Alegre","RS",4,1,1,543.1,514.3,551.3,636.1,800
3135207,"Feliz","RS",1,2,1,606.5,621.1,634.5,719.3,640
1481023,"Porto Alegre","RS",2,1,1,513.2,499.3,435.3,381,580
3729771,"Canoas","RS",2,1,1,503.8,515.5,509.1,412.4,680
3163234,"Osório","RS",2,1,1,385.3,374.4,525,423.5,640
4324595,"Marau","RS",2,1,1,,,,,
3481351,"Camaquã","RS",1,1,1,573.1,646.2,578.8,639.6,720
2183592,"São Sebastião do Caí","RS",2,1,1,531.5,501.3,561.4,382.9,760
3514667,"Canoas","RS",2,1,1,514.6,547.2,554,511.7,520
1626868,"Pelotas","RS",2,1,1,569.6,615.3,567.7,758.7,920
1084533,"São Sepé","RS",2,1,1,506.4,558.9,553.2,614.7,860
4313057,"Porto Alegre","RS",4,1,1,,,,,
2939806,"Lagoa Vermelha","RS",2,1,1,,,,,
2592927,"Osório","RS",2,1,1,562.2,545.8,567.9,474.4,680
4170479,"Tramandaí","RS",2,1,1,596.9,536.9,542.5,511.2,520
1789730,"São Borja","RS",4,1,1,595.6,552.1,572.8,609.3,820
2779906,"Caibaté","RS",2,1,1,593.6,686.7,586.7,616.4,800
1844670,"Erechim","RS",2,1,1,576.7,554.5,574.8,649,880
308525,"Panambi","RS",1,1,1,631.4,637.1,513.7,713.6,880
1159859,"Cruzaltense","RS",2,1,1,376.3,498.3,550.7,465,580
19153,"Novo Xingu","RS",2,1,1,492.6,583.7,569.3,480.4,920
484570,"Rio Grande","RS",2,1,1,483.8,528.4,570,468.1,740
209096,"Osório","RS",2,1,1,,,,,
2275455,"Erechim","RS",1,1,1,659.6,677.2,625.8,712.7,840
741023,"Porto Alegre","RS",4,1,1,515.9,529.6,541.3,588.4,900
1942933,"Porto Alegre","RS",2,1,1,388.4,467.3,492.7,390.8,380
3300981,"Novo Hamburgo","RS",4,1,1,487.5,618,394.5,520.4,720
1204957,"Cruz Alta","RS",4,1,1,,,,,
4290398,"Porto Alegre","RS",2,1,1,,,,,
1456455,"São Vicente do Sul","RS",1,2,1,456,409.3,393.4,431,600
2625924,"Santa Vitória do Palmar","RS",2,1,1,502.7,539.3,542.8,609.8,780
1722434,"Osório","RS",2,1,1,429.4,524.9,534.1,538.9,780
1597482,"Carazinho","RS",2,1,1,511.8,572,617.6,584,560
4165745,"Santa Cruz do Sul","RS",2,1,1,418,578.7,544.5,518.4,680
3008541,"Farroupilha","RS",2,1,1,396.1,366.9,397.4,401.8,440
1062777,"Novo Hamburgo","RS",2,1,1,,,,,
982221,"Pelotas","RS",1,1,1,571.3,529.2,582.4,578.5,520
4186647,"Cerro Grande do Sul","RS",2,1,1,,,,,
3491507,"Itaqui","RS",2,1,1,,,,,
3158425,"Viamão","RS",2,2,1,492.2,397.4,504.5,558.6,560
508265,"Sapucaia do Sul","RS",2,1,1,456.5,486,535.8,485.2,640
767264,"Canoas","RS",1,1,1,579.2,605.2,584.7,591.7,680
1781697,"Sapucaia do Sul","RS",2,1,1,381.7,454,473.6,447.1,520
4143620,"Três Cachoeiras","RS",2,1,1,,,,,
1168500,"Caxias do Sul","RS",2,1,1,451.8,469.2,519.1,476.8,0
691894,"Caxias do Sul","RS",2,1,1,547.3,535,493.9,551,640
121738,"Porto Alegre","RS",4,1,1,539.5,619.1,631.4,612.1,860
560057,"Erechim","RS",2,1,1,528.4,518.8,494.5,430.3,620
1750675,"Porto Alegre","RS",4,1,1,551.7,529.9,570.9,506.3,640
2361047,"Porto Alegre","RS",2,1,1,568.6,501.9,574.6,634.6,780
4115780,"Porto Alegre","RS",2,1,1,521.9,521,569.4,437.6,740
2764556,"Taquara","RS",2,1,1,,,,,
2112379,"Santa Maria","RS",4,1,1,657.1,649.9,559.4,735.7,860
4256601,"Sant'Ana do Livramento","RS",2,1,1,436.5,330.4,382.5,541.1,600
2537160,"Alegrete","RS",2,1,1,576.1,577.2,555.1,639.9,800
4205606,"Sapiranga","RS",4,1,1,,,,,
1680373,"Parobé","RS",2,1,1,508.4,516.8,541.4,412.3,640
474683,"Santo Ângelo","RS",2,1,1,412.9,475.7,565.4,545.6,660
3708248,"Guaíba","RS",2,1,1,467.4,488.1,460.8,445.7,520
2631746,"Santa Rosa","RS",2,1,1,444.8,611.2,594.1,685.1,840
2926744,"Porto Alegre","RS",4,1,1,666.7,676.9,619,869.1,860
3011490,"Cândido Godói","RS",2,1,1,415,552.2,545.2,473.6,900
3837215,"Giruá","RS",2,1,1,379.2,485.4,529.9,431.4,380
3169569,"Flores da Cunha","RS",2,1,1,587.4,544.5,586,603.2,620
1800695,"Jaquirana","RS",2,1,1,414.6,430,427.3,412.4,400
1498159,"Canoas","RS",2,1,1,370.3,443.5,529.1,566.2,0
3003820,"Canguçu","RS",2,1,1,498.9,391.9,526.1,596.3,540
1274577,"Aceguá","RS",2,1,1,482,466.9,548.3,596.2,600
728837,"Teutônia","RS",2,1,1,,,,,
4183496,"São Leopoldo","RS",2,1,1,552.4,598.4,571.9,620.2,740
548974,"Porto Alegre","RS",2,1,1,610.7,636.6,634.3,692.7,780
939491,"Barra do Ribeiro","RS",2,1,1,,,,,
1476676,"Getúlio Vargas","RS",2,1,1,479.9,584.6,571.2,592.3,840
1509668,"Canoas","RS",4,1,1,555.7,623.7,629,663.6,940
2731118,"Gravataí","RS",4,1,1,548.2,622.5,594,559.7,520
356226,"Venâncio Aires","RS",2,1,1,447.4,438.9,511.8,512.6,620
1433564,"Pelotas","RS",2,1,1,578,557.5,547.5,554,620
3704575,"Pelotas","RS",2,1,1,488.3,522,479.1,399.9,680
4314965,"Santa Maria","RS",4,1,1,592.9,650.1,616.7,587.6,580
