"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
3604651,"Tijucas","SC",4,1,1,521.9,601.9,605.5,689.2,920
2162195,"Brusque","SC",4,1,1,,,,,
2023108,"São Ludgero","SC",2,1,1,,,,,
1937077,"Florianópolis","SC",2,1,1,586.7,581,608,569.4,740
785979,"Joinville","SC",2,1,1,520.5,463.6,508.3,437.6,620
781323,"Indaial","SC",2,1,1,,362.3,462,,620
288095,"São José","SC",2,1,1,520,490.2,515.7,485.6,540
533797,"Joinville","SC",4,1,1,462.6,548.6,540.2,453,640
1663582,"Florianópolis","SC",2,1,1,638.7,647.4,618.9,728.9,900
379232,"Orleans","SC",2,1,1,,,,,
965328,"Guaraciaba","SC",2,1,1,448.3,441.2,464.7,448.3,740
2379975,"Blumenau","SC",2,1,1,439.4,504.6,540.6,453.4,540
2877891,"Monte Carlo","SC",2,1,1,,,,,
3979639,"Criciúma","SC",4,1,1,,,,,
2990101,"Turvo","SC",2,1,1,490,594.4,578.7,592.6,640
866803,"Penha","SC",2,1,1,568.7,599.9,559.8,557.8,760
1787229,"Monte Castelo","SC",2,1,1,604.9,712.2,673.3,701.7,920
1609362,"Navegantes","SC",2,1,1,,,,,
3457775,"Luzerna","SC",2,1,1,446.6,484.5,526.2,398,480
4056375,"Joinville","SC",2,1,1,488.8,471.6,514.2,428.5,640
3765706,"Tubarão","SC",2,1,1,606.3,577.6,546.7,640.7,560
838099,"Blumenau","SC",2,1,1,,,,,
1277625,"Capinzal","SC",2,1,1,440,479.5,531.7,581.1,700
2697498,"Florianópolis","SC",4,1,1,568.1,645.5,629,697.8,560
2483425,"Joaçaba","SC",4,1,1,601.7,647.4,592.2,712,840
2725430,"Ipumirim","SC",2,2,1,380,401.5,515.7,500.9,540
1824551,"Ibirama","SC",2,1,1,,,,,
1331662,"Porto União","SC",4,1,1,619.1,641.2,632.6,778.1,940
1786907,"Sangão","SC",2,1,1,,361.1,481.7,,420
312263,"Criciúma","SC",2,1,1,405.2,420.7,557.7,583.8,680
3066511,"Mafra","SC",4,1,1,450,371.6,479.2,400.9,640
104616,"Videira","SC",4,1,1,549.8,534.6,459.7,616,640
2028361,"São Francisco do Sul","SC",4,1,1,,,,,
3630109,"Itajaí","SC",2,1,1,461.4,468,490.7,462.6,620
1095297,"Florianópolis","SC",2,1,1,386.7,521.7,467.7,394.7,320
1182547,"Lages","SC",2,1,1,429.7,442.2,453.9,450.6,480
