"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
675457,"Aracaju","SE",2,1,1,429.6,544.7,523.3,465.6,720
2154915,"Nossa Senhora da Glória","SE",2,1,1,608.2,646.9,619.1,645.8,520
4105009,"Estância","SE",4,1,1,487.9,528.6,560.5,414.1,740
1420912,"Nossa Senhora do Socorro","SE",2,1,1,530,348,496.9,432.1,680
1003400,"Nossa Senhora da Glória","SE",2,1,1,354.5,430.1,425,463.2,620
856179,"Aracaju","SE",2,1,1,441,335.5,347,514,420
3713058,"Itaporanga d'Ajuda","SE",2,1,1,,,,,
907624,"Aracaju","SE",2,1,1,,,,,
768097,"General Maynard","SE",2,1,1,418,361.9,429.3,444,340
3878490,"Aracaju","SE",2,1,1,,403.3,364,,440
4030608,"São Cristóvão","SE",2,1,1,475.3,363.6,361.9,466.3,560
72548,"Nossa Senhora do Socorro","SE",2,1,1,500.1,542.7,507.2,519,0
1519320,"Lagarto","SE",2,1,1,375.5,350.8,409.3,388.4,420
1094,"Aracaju","SE",2,1,1,,471.4,497.8,,760
2529520,"Aracaju","SE",2,1,1,410.8,285.1,447.8,419.5,620
2168189,"Nossa Senhora Aparecida","SE",2,1,1,386,505.6,506.6,478,860
1545764,"Simão Dias","SE",2,1,1,403.7,515.6,518,554.8,740
1528441,"Aracaju","SE",4,1,1,556.7,565.7,560,595.7,600
4080547,"Riachão do Dantas","SE",2,1,1,,,,,
2207329,"Aracaju","SE",2,1,1,491.4,517.7,562.6,431.6,680
1674019,"Umbaúba","SE",2,1,1,461.7,463.9,481.5,419.8,620
1395339,"Cumbe","SE",2,1,1,454.5,566,524,543.5,320
755146,"Lagarto","SE",2,1,1,426.2,528,547.1,469.5,600
566027,"Estância","SE",2,1,1,444.5,392.4,444.9,391.3,520
3615103,"Nossa Senhora Aparecida","SE",2,1,1,434.8,359.1,365.6,409.8,380
384681,"São Cristóvão","SE",1,1,1,409.5,483.4,533.3,539.4,580
1588863,"Nossa Senhora do Socorro","SE",2,1,1,366.7,354,513.1,445.7,720
580775,"Aracaju","SE",2,1,1,425.3,0,530.6,421.4,320
1018666,"Barra dos Coqueiros","SE",2,1,1,,,,,
1867156,"São Cristóvão","SE",4,1,1,526.9,522.9,494.9,489.8,700
191389,"Aracaju","SE",2,1,1,449.3,531.5,545.8,407.8,760
2761345,"Estância","SE",2,1,1,,,,,
263679,"Nossa Senhora da Glória","SE",2,1,1,445.8,457.6,461.7,563.2,640
3028651,"Simão Dias","SE",2,1,1,388.4,380.9,500.1,425.1,620
744432,"Poço Verde","SE",2,1,1,510.6,386.5,420,474.4,200
13741,"Lagarto","SE",1,2,1,515.9,510.5,592.5,629.3,820
1944917,"Cristinápolis","SE",2,1,1,387.3,470.5,473.2,432.4,660
166889,"Aquidabã","SE",2,1,1,409.9,438.9,471.1,576,580
2728247,"Itabaianinha","SE",2,1,1,451.5,410,514.4,437.3,800
350271,"Aracaju","SE",2,1,1,531.8,457.6,484.8,520.8,560
3686569,"Aquidabã","SE",2,1,1,,,,,
836708,"Nossa Senhora da Glória","SE",2,1,1,404.5,438.2,523.8,424.6,920
149150,"Aracaju","SE",4,1,1,498.3,554.5,540.3,576.1,560
947540,"Aracaju","SE",2,1,1,395.7,378.2,407.7,411.7,380
944251,"Barra dos Coqueiros","SE",2,1,1,478.6,483.5,543,423.1,680
471455,"Aracaju","SE",2,1,1,387.6,471.6,505.6,426,600
1873644,"Nossa Senhora do Socorro","SE",2,1,1,455.5,462.3,477.6,480.3,520
3747598,"Itabaianinha","SE",2,1,1,,,,,
2455864,"Aracaju","SE",2,1,1,420.2,406.2,456.5,422.3,540
895575,"Aracaju","SE",2,1,1,463.1,494.9,548,443.6,400
813627,"Nossa Senhora das Dores","SE",2,2,1,391.8,416,489,415,700
1399610,"Aracaju","SE",2,1,1,507.8,446.4,547.9,537.4,820
2324776,"Boquim","SE",2,1,1,543.8,433.4,527.1,602.6,840
880268,"Itabaiana","SE",2,1,1,465.3,436.7,527,405.7,340
3762889,"Aracaju","SE",2,1,1,397.6,433.7,494.6,412.7,640
1859506,"Carira","SE",2,1,1,524.7,400.8,573.6,470.5,540
53847,"São Cristóvão","SE",2,1,1,404.5,512.2,501.8,470.2,820
1092879,"Aracaju","SE",2,1,1,510,509.6,538.1,510.5,660
2669357,"Aracaju","SE",4,1,1,478.4,506.9,515.6,501.5,600
1555774,"Tomar do Geru","SE",2,1,1,426.7,504.3,518.7,647.5,840
366312,"Nossa Senhora do Socorro","SE",2,1,1,365.1,484.1,497.9,387.7,740
2788003,"Nossa Senhora das Dores","SE",2,1,1,376.3,396.7,432.1,442.3,0
350694,"Nossa Senhora do Socorro","SE",4,1,1,601.1,699.3,680.6,771.8,940
1861307,"Arauá","SE",2,1,1,438.7,533.6,513.6,430.3,580
2478756,"Nossa Senhora do Socorro","SE",4,1,1,570.2,589,593.3,720.8,840
127508,"Aracaju","SE",2,1,1,572.7,579.5,588.5,630.9,880
3571602,"Aracaju","SE",2,1,1,404.5,439.7,419,408.7,560
1438568,"Estância","SE",2,1,1,,,,,
1258860,"Salgado","SE",2,1,1,407.9,540.7,557.3,423.9,620
1442304,"Barra dos Coqueiros","SE",2,1,1,459.1,500.2,477.4,465.5,500
1079136,"Nossa Senhora do Socorro","SE",2,1,1,368.8,335.1,460.6,392.9,600
1302624,"Aracaju","SE",2,1,1,442.4,466.5,505.2,510,760
3868575,"Aracaju","SE",2,1,1,,,,,
1024635,"Aracaju","SE",4,1,1,564.3,552.1,599.2,576.6,600
1557141,"Lagarto","SE",2,1,1,642.2,479.3,533.2,557.3,740
2512943,"Aracaju","SE",2,1,1,566.1,445.7,545.9,721.8,660
3072604,"Aracaju","SE",4,1,1,512,600,565.1,516.9,680
2394068,"Aracaju","SE",4,1,1,594.7,584.8,590.5,676.1,860
460813,"Feira Nova","SE",2,1,1,,,,,
1036624,"Aracaju","SE",2,1,1,,,,,
2780458,"Aracaju","SE",4,1,1,603.2,594.2,582,656.7,880
359265,"Tobias Barreto","SE",2,1,1,,,,,
1359071,"Umbaúba","SE",2,1,1,421.4,476.2,480.4,419.4,700
2751502,"Aracaju","SE",2,1,1,447,406.2,433.6,396.6,360
441792,"Aracaju","SE",4,1,1,481.4,408.5,477.2,523.6,560
1172617,"Aracaju","SE",2,1,1,358.8,423.9,490,422.3,0
2841269,"Nossa Senhora Aparecida","SE",2,1,1,418.4,442.4,343,440.8,0
3403049,"Aracaju","SE",2,1,1,,,,,
1836580,"Aracaju","SE",4,1,1,356.8,495.3,539.2,457.7,840
139221,"Pacatuba","SE",2,1,1,375.2,431,498,437.9,0
637429,"Itaporanga d'Ajuda","SE",2,1,1,342.1,0,325.9,0,0
1078808,"Pedrinhas","SE",2,1,1,467.2,472.4,545.9,584.4,880
194890,"São Domingos","SE",2,1,1,417.9,524.3,526.3,464.2,780
2569949,"Aracaju","SE",4,1,1,725.4,749.5,658.9,841.8,920
997852,"Indiaroba","SE",2,1,1,403,517.9,497.5,505.9,580
1612899,"Maruim","SE",2,1,1,397.2,477,536.3,426.9,680
1544157,"São Cristóvão","SE",4,1,1,546.5,525.5,552.8,524.3,720
3667143,"Poço Redondo","SE",2,1,1,501.9,429.9,507.4,507.6,0
1875097,"Aracaju","SE",2,1,1,466.4,589.1,507.6,445.3,820
2112086,"Poço Verde","SE",2,1,1,515.4,547,554.4,514.1,880
2604177,"Tomar do Geru","SE",2,1,1,403.2,419.6,420,551.1,840
404378,"Neópolis","SE",2,1,1,429.4,444.8,437,429,700
3313569,"Umbaúba","SE",2,1,1,,,,,
1416822,"Aracaju","SE",4,1,1,386,434.7,416.9,479.8,620
2417046,"Frei Paulo","SE",2,1,1,388.1,339,413.6,513.9,0
2487253,"Aracaju","SE",4,1,1,403.2,554.6,472.4,396.3,840
1218351,"Campo do Brito","SE",2,1,1,363.8,482.9,510.6,415.2,580
959757,"Aracaju","SE",2,1,1,478.5,495.8,511.3,440.7,600
695777,"Aracaju","SE",2,1,1,585.6,474.6,553.3,565.3,840
480449,"Aracaju","SE",2,1,1,399.2,498.8,503.5,390.5,520
3523785,"Estância","SE",4,1,1,570,607.8,612.3,768.9,900
184958,"Lagarto","SE",2,1,1,482.6,357,325.6,437.8,760
202820,"Lagarto","SE",2,1,1,428.5,462.1,470.2,400.2,560
767357,"Aracaju","SE",2,1,1,473.4,382,359.5,400.8,520
799950,"Japoatã","SE",2,1,1,447.8,425.1,469.6,539.2,640
3514979,"Ribeirópolis","SE",2,1,1,476.9,528.4,507.6,608.9,580
1420993,"Simão Dias","SE",2,1,1,400.5,419.8,417.4,396.7,360
1139180,"Neópolis","SE",2,1,1,454,390.5,494.3,510.2,0
2883369,"Carira","SE",2,1,1,368.9,376.4,355.4,470.2,380
1476293,"Malhador","SE",2,1,1,510.7,534.5,578.4,467.1,840
1395051,"Itaporanga d'Ajuda","SE",2,1,1,497.3,585,550.2,561.1,780
3787585,"Estância","SE",2,1,1,,,,,
719498,"Lagarto","SE",2,1,1,530.8,388.3,499.5,592.4,620
3209792,"Estância","SE",2,1,1,555.5,412.1,354.4,583.2,700
1014503,"Itabaiana","SE",2,1,1,375,454.9,492.7,436.5,760
148363,"Carmópolis","SE",2,1,1,538.6,588.2,580.6,516,540
2823378,"Aracaju","SE",4,1,1,571.2,544.3,587,626.3,880
6851,"Aquidabã","SE",2,1,1,608,492.4,511.8,402.8,560
3237045,"Japaratuba","SE",2,1,1,487.1,499.2,434.9,420,540
1626213,"Tobias Barreto","SE",4,1,1,379.4,389.6,441.7,479.7,480
