"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
1608648,"Porto Nacional","TO",2,1,1,,,,,
1203103,"Palmas","TO",2,1,1,464,440.1,464.2,399.3,500
252556,"Palmeirópolis","TO",2,1,1,533.5,454.1,493.6,560.5,780
2463491,"Cristalândia","TO",2,1,1,497.2,596.7,556.8,497.5,680
2943222,"Palmas","TO",2,1,1,,,,,
3111728,"Bom Jesus do Tocantins","TO",2,1,1,,,,,
3353891,"Colinas do Tocantins","TO",2,1,1,414.1,424,436.9,401.5,400
2530722,"Palmas","TO",2,1,1,,,,,
3304206,"Palmas","TO",2,1,1,447.3,513.8,496.4,595.7,620
3590479,"Palmas","TO",4,1,1,558.5,628.2,602.6,661,920
887525,"Araguaína","TO",2,1,1,523.5,484.5,528.4,630.3,900
1284726,"Augustinópolis","TO",2,1,1,,,,,
2560119,"Esperantina","TO",2,1,1,445.4,298,464.4,456,580
1778901,"Tocantínia","TO",2,1,1,361.8,464.8,414.4,458.8,620
1832600,"Palmas","TO",2,1,1,590.9,590.8,609.9,668.2,660
2440119,"Santa Tereza do Tocantins","TO",2,1,1,492.4,521.7,440,492.9,520
234294,"Palmas","TO",4,1,1,497.3,437.3,543.6,453.1,700
1107885,"Araguaína","TO",2,1,1,513.2,540.9,514.5,512.3,740
3568492,"Paraíso do Tocantins","TO",2,1,1,,,,,
3271523,"São Félix do Tocantins","TO",2,1,1,348.2,288.9,353.6,385.9,300
769070,"Palmas","TO",2,1,1,549.6,310.9,481.4,416.4,520
1064996,"Colinas do Tocantins","TO",2,1,1,442.4,478,441.2,498.4,540
1806478,"Palmas","TO",2,1,1,392.1,487,527.6,613.4,360
555534,"Araguatins","TO",2,1,1,463.6,492,522.4,372.4,620
4286680,"Gurupi","TO",2,1,1,,,,,
3141320,"Pedro Afonso","TO",2,1,1,,420.5,337.7,,400
3067547,"Palmas","TO",2,1,1,,,,,
1871609,"Araguaína","TO",2,1,1,,414.8,469,,0
62720,"Palmas","TO",4,1,1,,,,,
643218,"Paranã","TO",2,2,1,375.2,342.1,428.1,413.5,500
2668852,"Araguaína","TO",2,1,1,365.8,402.5,440.4,414.9,500
2499427,"Monte do Carmo","TO",2,1,1,,,,,
926000,"Palmas","TO",2,1,1,,,,,
3278473,"Bernardo Sayão","TO",2,1,1,,,,,
697901,"Filadélfia","TO",2,2,1,464.9,579.6,579,444.5,920
1351650,"Dianópolis","TO",1,2,1,493,489.6,540.8,402.3,740
2708633,"Gurupi","TO",2,1,1,389.4,487.1,481.6,381.3,560
3545794,"Tocantinópolis","TO",2,1,1,486.1,448.8,529.6,445.6,540
547493,"Miracema do Tocantins","TO",2,1,1,420.3,513.3,542.5,517,780
2498850,"Silvanópolis","TO",2,1,1,,,,,
1939373,"Gurupi","TO",4,1,1,541.2,574.5,552.2,503.6,780
1063365,"Ponte Alta do Tocantins","TO",2,1,1,383.8,489.7,502.9,475.4,520
3456969,"Palmas","TO",2,1,1,488.6,470.1,527.4,493.9,720
2940690,"Gurupi","TO",4,1,1,623.6,447.1,552.2,758,680
742099,"Palmas","TO",4,1,1,622.4,649.1,592.3,646.3,900
4169039,"Palmas","TO",2,1,1,471.4,476.9,506.4,388.2,440
74490,"Palmas","TO",2,1,1,426.4,382.1,390.2,395.2,540
3009905,"Araguaína","TO",4,1,1,568.6,639.4,595.6,552.7,680
1569983,"Araguaína","TO",2,1,1,435.4,341.9,474.1,407.7,420
2450862,"Araguaína","TO",2,1,1,591.2,493.1,565.2,724.8,920
4111706,"Araguaína","TO",2,1,1,,,,,
214530,"Lagoa da Confusão","TO",2,1,1,433,448.1,489.2,395.7,560
2776859,"Miranorte","TO",2,1,1,374.1,414.7,399.4,436.5,380
769546,"Palmas","TO",4,1,1,414.8,427.4,517.4,392.1,600
3606495,"Brejinho de Nazaré","TO",2,1,1,433.3,422.3,439.9,453.5,0
1215890,"Itaguatins","TO",2,1,1,485.8,356.2,326.8,422.7,380
3446383,"Palmas","TO",4,1,1,438.5,418.9,473.8,396,600
3189357,"Araguaína","TO",1,1,1,572.9,442,564.9,480.4,600
1390632,"Araguaína","TO",4,1,1,395.7,603.7,562.2,426,840
1898519,"Colinas do Tocantins","TO",4,1,1,587.1,562.3,517.7,673.6,840
45916,"Palmas","TO",2,1,1,467.8,531.8,527.7,441.7,680
3684915,"Lizarda","TO",2,1,1,,,,,
2429512,"Araguaína","TO",4,1,1,586.9,581.8,602.9,616.6,960
2996912,"Gurupi","TO",4,1,1,452.3,508.7,520.1,407.8,860
2871982,"Colinas do Tocantins","TO",2,2,1,374.3,383.8,317.9,393.5,340
3470402,"Palmas","TO",2,1,1,,384.6,467.6,,560
2763347,"Cristalândia","TO",2,1,1,487.7,415.4,351.9,433.1,400
1859003,"Araguaína","TO",2,1,1,480.7,361.6,514.5,427.1,0
3577010,"Araguatins","TO",2,1,1,,,,,
1539440,"Riachinho","TO",2,1,1,444.5,550.3,512.8,404,720
3858541,"Colinas do Tocantins","TO",2,1,1,,,,,
248778,"Palmas","TO",4,1,1,615.2,587.8,503.7,422.1,0
3403618,"Paraíso do Tocantins","TO",2,1,1,,,,,
1142980,"Babaçulândia","TO",2,1,1,510.5,367.8,444.5,459.7,340
3338245,"Augustinópolis","TO",2,1,1,,,,,
1809004,"Couto Magalhães","TO",2,1,1,362.2,395.9,410.3,405.6,740
3427405,"Araguaína","TO",2,1,1,,,,,
1618463,"Guaraí","TO",4,1,1,534.4,587.2,576.8,671.1,780
2909649,"Miracema do Tocantins","TO",2,1,1,385.3,476.7,523.8,392.1,560
3049965,"Araguatins","TO",2,2,1,471.4,322.6,344.3,394,240
1045731,"Carmolândia","TO",2,1,1,,,,,
2995623,"Araguaína","TO",4,1,1,,,,,
2921089,"Arraias","TO",2,1,1,443.5,463.6,517.9,540.7,860
2820591,"Palmas","TO",4,1,1,554.8,593.4,558.7,672,880
2941066,"Filadélfia","TO",2,1,1,,,,,
2773069,"Rio Sono","TO",2,1,1,359.3,567.6,531.9,565.1,760
1872872,"Araguaína","TO",1,1,1,593.7,645.5,586.6,599.6,840
3188258,"Porto Nacional","TO",1,1,1,408.6,362,541.5,605.5,700
1100260,"Monte do Carmo","TO",2,1,1,,,,,
13109,"Carrasco Bonito","TO",2,1,1,421.8,482.7,505.5,484.1,560
1238673,"Palmas","TO",2,1,1,409,313.6,389.7,505.6,360
3229085,"Colinas do Tocantins","TO",4,1,1,,,,,
256421,"Pugmil","TO",2,1,1,420,446.8,440.5,481.8,560
3791887,"Palmas","TO",2,1,1,373.4,402.4,487.4,435.6,500
1903735,"Tocantinópolis","TO",2,2,1,,,,,
1400233,"Palmas","TO",4,1,1,391.1,505.9,534.4,526,920
1184249,"Luzinópolis","TO",2,1,1,541.1,342.3,394.4,470.6,520
1148788,"Angico","TO",2,1,1,429.4,456.7,502,441.3,580
2773729,"Couto Magalhães","TO",2,1,1,404.9,330.1,422.2,404.5,0
2703954,"Gurupi","TO",2,1,1,458.2,527.9,537,426.5,640
3427956,"Babaçulândia","TO",2,1,1,385.9,391.9,426.4,495.1,480
2440754,"Colinas do Tocantins","TO",2,1,1,,,,,
663071,"Gurupi","TO",2,1,1,365.1,491.2,494.7,404.7,520
1005187,"Palmas","TO",2,1,1,390.3,415.8,411.2,434.1,520
1174391,"Palmeiras do Tocantins","TO",2,1,1,443.5,375.9,420.2,461.9,340
3010582,"Pedro Afonso","TO",2,1,1,432.6,434.1,521.6,673.2,600
617937,"Cristalândia","TO",2,1,1,368.2,400.4,514.2,442.1,720
3890645,"Palmas","TO",2,1,1,,628.6,551.4,,600
2787100,"Babaçulândia","TO",2,1,1,,446.3,497.2,,0
3255600,"Tocantinópolis","TO",2,1,1,,,,,
2194290,"Palmas","TO",2,1,1,628.8,634.1,625.8,730.6,820
2051806,"Colinas do Tocantins","TO",2,1,1,506.4,580.2,569.9,667,800
4115896,"Combinado","TO",2,1,1,,,,,
1587141,"Araguaína","TO",2,1,1,434.2,501.3,484.5,408.2,680
3474168,"Colinas do Tocantins","TO",2,2,1,385.7,,,402.5,
3864341,"Palmas","TO",2,1,1,,,,,
121885,"Formoso do Araguaia","TO",1,1,1,460.9,509.4,495.4,404.7,560
3322853,"Lagoa do Tocantins","TO",2,1,1,,,,,
1475148,"Babaçulândia","TO",2,1,1,,,,,
1075428,"Tocantinópolis","TO",2,2,1,,,,,
366405,"Paraíso do Tocantins","TO",2,1,1,540.3,300.1,511.5,443.4,540
2614795,"Campos Lindos","TO",2,1,1,460.8,358.3,372.9,476.8,320
1998946,"Porto Nacional","TO",4,1,1,655.9,637.3,636.3,663.9,880
3264226,"Palmas","TO",2,1,1,407.4,375.6,414.4,497.3,480
1095011,"Palmas","TO",2,1,1,492.2,442.9,508,432.1,640
3814675,"Arraias","TO",2,2,1,,384.3,408,,0
93607,"Palmas","TO",2,1,1,427.9,495.9,512.3,460.5,620
1331473,"Juarina","TO",2,1,1,,,,,
1355585,"Araguanã","TO",2,1,1,353.5,544.5,535.6,490.3,640
1501984,"Babaçulândia","TO",2,1,1,422.2,383,434.3,425.9,0
1950379,"Araguatins","TO",1,2,1,430.7,414.4,549.4,462.4,800
