CIDADE,ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),CRECHE,EJA,ENSINO FUNDAMENTAL,ENSINO Mï¿½DIO,ENSINO Mï¿½DIO INTEGRAL,INDï¿½GENA,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - INDï¿½GENA,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - QUILOMBOLA,PRï¿½-ESCOLA,QUILOMBOLA
AC-ACRELANDIA,4346.0,63986.0,9024.0,119752.0,0.0,0.0,0.0,0.0,0.0,0.0,47110.0,0.0
AC-ASSIS BRASIL,2459.2,8046.4,6195.2,62726.4,0.0,0.0,0.0,0.0,0.0,0.0,27984.0,0.0
AC-BRASILEIA,7738.0,75756.0,6720.0,156240.0,0.0,0.0,0.0,0.0,0.0,0.0,91266.0,0.0
AC-BUJARI,1696.0,46010.0,0.0,85968.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,0.0
AC-CAPIXABA,3243.6,12519.0,22982.4,111607.2,0.0,0.0,0.0,0.0,0.0,0.0,35584.2,0.0
AC-CRUZEIRO DO SUL,40174.0,337906.0,4096.0,704930.0,0.0,0.0,0.0,19880.0,0.0,0.0,334112.0,0.0
AC-EPITACIOLANDIA,3604.0,53928.0,0.0,108288.0,0.0,0.0,0.0,0.0,0.0,0.0,50350.0,0.0
AC-FEIJO,4770.0,0.0,30272.0,291278.0,0.0,0.0,0.0,0.0,0.0,0.0,87132.0,0.0
AC-JORDAO,2014.0,46866.0,1344.0,90144.0,0.0,0.0,142688.0,0.0,0.0,0.0,25864.0,0.0
AC-MANCIO LIMA,7208.0,99082.0,7424.0,197034.0,0.0,0.0,9056.0,0.0,0.0,0.0,73458.0,0.0
AC-MANOEL URBANO,2226.0,28248.0,1856.0,100584.0,0.0,0.0,0.0,0.0,0.0,0.0,30634.0,0.0
AC-MARECHAL THAUMATURGO,5512.0,56068.0,15936.0,348294.0,0.0,0.0,96602.0,69523.2,0.0,0.0,68370.0,0.0
AC-PLACIDO DE CASTRO,3922.0,8774.0,9728.0,157870.0,0.0,0.0,0.0,16358.4,0.0,0.0,64130.0,0.0
AC-PORTO ACRE,1272.0,0.0,0.0,69062.4,0.0,0.0,0.0,0.0,0.0,0.0,47572.8,0.0
AC-PORTO WALTER,3180.0,18404.0,16256.0,156456.0,0.0,0.0,0.0,0.0,0.0,0.0,51092.0,0.0
AC-RIO BRANCO,216293.0,954440.0,1264674.0,3921136.4,1579278.6,1399956.0,779398.0,0.0,0.0,0.0,543091.0,0.0
AC-RODRIGUES ALVES,4293.0,110745.0,56620.8,124738.2,0.0,0.0,0.0,16585.6,0.0,0.0,62773.2,0.0
AC-SANTA ROSA DO PURUS,1378.0,17548.0,8768.0,62630.0,0.0,0.0,142976.0,0.0,0.0,0.0,19292.0,0.0
AC-SENA MADUREIRA,8162.0,66982.0,3648.0,472166.0,0.0,0.0,0.0,0.0,0.0,0.0,100806.0,0.0
AC-SENADOR GUIOMARD,6360.0,49862.0,16832.0,234032.0,0.0,0.0,0.0,0.0,0.0,0.0,81832.0,0.0
AC-TARAUACA,7738.0,61632.0,41856.0,673822.0,0.0,0.0,0.0,0.0,0.0,0.0,142040.0,0.0
AC-XAPURI,954.0,43014.0,4224.0,30376.0,0.0,0.0,0.0,0.0,0.0,0.0,44202.0,0.0
AL-AGUA BRANCA,16006.0,27392.0,28224.0,210888.0,0.0,0.0,0.0,46576.0,0.0,0.0,44096.0,132864.0
AL-ANADIA,0.0,19046.0,14656.0,309166.0,0.0,0.0,0.0,78270.4,0.0,0.0,55748.0,0.0
