#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
2018;AC;ACRELANDIA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);4346
2018;AC;ACRELANDIA;MUNICIPAL;CRECHE;63986
2018;AC;ACRELANDIA;MUNICIPAL;EJA;9024
2018;AC;ACRELANDIA;MUNICIPAL;ENSINO FUNDAMENTAL;119752
2018;AC;ACRELANDIA;MUNICIPAL;PRï¿½-ESCOLA;47110
2018;AC;ASSIS BRASIL;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);2459,2
2018;AC;ASSIS BRASIL;MUNICIPAL;CRECHE;8046,4
2018;AC;ASSIS BRASIL;MUNICIPAL;EJA;6195,2
2018;AC;ASSIS BRASIL;MUNICIPAL;ENSINO FUNDAMENTAL;62726,4
2018;AC;ASSIS BRASIL;MUNICIPAL;PRï¿½-ESCOLA;27984
2018;AC;BRASILEIA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);7738
2018;AC;BRASILEIA;MUNICIPAL;CRECHE;75756
2018;AC;BRASILEIA;MUNICIPAL;EJA;6720
2018;AC;BRASILEIA;MUNICIPAL;ENSINO FUNDAMENTAL;156240
2018;AC;BRASILEIA;MUNICIPAL;PRï¿½-ESCOLA;91266
2018;AC;BUJARI;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);1696
2018;AC;BUJARI;MUNICIPAL;CRECHE;46010
2018;AC;BUJARI;MUNICIPAL;ENSINO FUNDAMENTAL;85968
2018;AC;BUJARI;MUNICIPAL;PRï¿½-ESCOLA;27560
2018;AC;CAPIXABA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3243,6
2018;AC;CAPIXABA;MUNICIPAL;CRECHE;12519
2018;AC;CAPIXABA;MUNICIPAL;EJA;22982,4
2018;AC;CAPIXABA;MUNICIPAL;ENSINO FUNDAMENTAL;111607,2
2018;AC;CAPIXABA;MUNICIPAL;PRï¿½-ESCOLA;35584,2
2018;AC;CRUZEIRO DO SUL;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);40174
2018;AC;CRUZEIRO DO SUL;MUNICIPAL;CRECHE;337906
2018;AC;CRUZEIRO DO SUL;MUNICIPAL;EJA;4096
2018;AC;CRUZEIRO DO SUL;MUNICIPAL;ENSINO FUNDAMENTAL;704930
2018;AC;CRUZEIRO DO SUL;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;19880
2018;AC;CRUZEIRO DO SUL;MUNICIPAL;PRï¿½-ESCOLA;334112
2018;AC;EPITACIOLANDIA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3604
2018;AC;EPITACIOLANDIA;MUNICIPAL;CRECHE;53928
2018;AC;EPITACIOLANDIA;MUNICIPAL;ENSINO FUNDAMENTAL;108288
2018;AC;EPITACIOLANDIA;MUNICIPAL;PRï¿½-ESCOLA;50350
2018;AC;FEIJO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);4770
2018;AC;FEIJO;MUNICIPAL;EJA;30272
2018;AC;FEIJO;MUNICIPAL;ENSINO FUNDAMENTAL;291278
2018;AC;FEIJO;MUNICIPAL;PRï¿½-ESCOLA;87132
2018;AC;JORDAO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);2014
2018;AC;JORDAO;MUNICIPAL;CRECHE;46866
2018;AC;JORDAO;MUNICIPAL;EJA;1344
2018;AC;JORDAO;MUNICIPAL;ENSINO FUNDAMENTAL;90144
2018;AC;JORDAO;MUNICIPAL;INDï¿½GENA;142688
2018;AC;JORDAO;MUNICIPAL;PRï¿½-ESCOLA;25864
